runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count,latency_per_cpu
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,160.0,160.18,11.487831443138072,8.162,27.2295,57.54679999999999,3.808,339.148,9611,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,11.487831443138072
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,180.0,187.22,13.989455354758302,10.331,34.9804,62.77076000000003,3.799,185.698,11233,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,13.989455354758302
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,200.0,188.26,13.244804266997168,9.1615,36.42725,68.23919999999994,3.685,149.714,11296,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,13.244804266997168
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,220.0,223.83,21.82733864482502,14.779,59.843649999999954,109.38281999999953,3.593,234.573,13430,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,21.82733864482502
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,240.0,223.68,19.410522464793974,12.854,54.975,96.85879999999987,3.599,250.894,13421,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,19.410522464793974
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,260.0,277.08,34.45613730679016,26.842,86.71419999999996,126.00086000000006,3.757,257.003,16627,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,34.45613730679016
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,280.0,268.31,36.14689657742717,26.602,93.94749999999988,173.90666000000022,4.155,371.431,16099,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,36.14689657742717
python,b1,"Moderate (2 pods, 500m)",2,500,1000,5,300.0,272.83,33.476255052817976,25.064,85.51119999999996,133.26159999999996,3.65,364.763,16377,results_fibonacci_python_b1,60.384824902723736,10.744847397859923,2.0,33.476255052817976
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,20.0,20.0,11.645995833333332,8.926,20.92035,43.01975999999996,6.049,261.779,1200,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,11.645995833333332
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,40.0,40.0,9.875225416666666,8.4755,17.785149999999987,25.368219999999784,5.29,106.153,2400,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,9.875225416666666
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,60.0,62.45,9.5388473445423,7.819,19.4475,30.951,4.966,88.35,3747,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,9.5388473445423
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,80.0,82.68,12.170967143721024,8.468,30.997,68.31999999999996,4.652,210.811,4961,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,12.170967143721024
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,100.0,98.43,11.457977480528276,8.666,27.4605,44.31929999999999,4.326,97.628,5906,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,11.457977480528276
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,120.0,121.53,12.293552934722983,9.436,27.89819999999997,44.457840000000026,4.454,200.988,7292,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,12.293552934722983
python,b4,"High Horizontal (10 pods, 100m)",10,100,1000,20,140.0,138.02,12.25642845067021,9.517,28.235,45.35840000000006,4.642,114.733,8281,results_fibonacci_python_b4,85.29816513761467,49.298039707568805,10.0,12.25642845067021
