rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b1,3,1200.0,0.0,1200,1200,4756.666666666667,318.653939773751,4512,5117,150453.0,159167.8227155225,45169,333559,8854.133055555556,280.9287921717262,8590.235,9149.450833333334,7143.333333333333,129.03229569891926,7016.0,7274.0,18009.266666666666,408.3831605653376,17538.449999999997,18267.6,31025.653333333325,1354.995649525617,29633.91999999998,32340.64999999999,20.0,0.0,20.0,20.0,1200.0,4756.666666666667,150453.0,8854.133055555556,7143.333333333333,18009.266666666666,31025.653333333325,20.0
40,60,fibonacci_python_b1,4,2399.75,0.5,2399,2400,4200.5,354.4145407099808,3731,4578,78344.75,26230.57873773788,51650,106752,8205.599243999235,72.53235020007749,8111.5975,8287.74239266361,6812.0,36.193922141707716,6758.0,6835.0,16524.174999999992,183.75300677811796,16389.499999999993,16795.24999999999,29813.32249999996,986.7719730641852,28430.679999999993,30755.439999999988,39.99583333333334,0.00833333333333286,39.983333333333334,40.0,2399.75,4200.5,78344.75,8205.599243999235,6812.0,16524.174999999992,29813.32249999996,39.99583333333334
60,60,fibonacci_python_b1,6,3743.0,3.40587727318528,3739,3749,3863.3333333333335,124.03332885425057,3667,4004,119711.16666666667,26333.243054486597,77972,148283,8469.864025394469,365.0153625331368,8030.598026140304,9075.798984228815,6659.083333333333,276.4450065866024,6388.0,7177.0,18013.258333333324,1144.846838846436,17301.799999999996,20241.0,34626.376666666714,2884.691658882625,30888.519999999993,39085.1700000002,62.38333333333333,0.05676462121975394,62.31666666666667,62.483333333333334,3743.0,3863.3333333333335,119711.16666666667,8469.864025394469,6659.083333333333,18013.258333333324,34626.376666666714,62.38333333333333
80,60,fibonacci_python_b1,6,4983.5,7.259476565152615,4976,4994,3701.0,140.50053380681513,3557,3893,161287.33333333334,60304.14627093784,78173,240636,8596.997969967399,486.2066215956739,8055.386454983923,9375.645975170204,6420.333333333333,95.71137166850482,6346.0,6588.0,19536.133333333317,2225.7854902632907,17221.649999999987,21979.049999999967,41181.40499999995,10087.541006910988,31699.75,51489.26999999995,83.05833333333334,0.12099127608587629,82.93333333333334,83.23333333333333,4983.5,3701.0,161287.33333333334,8596.997969967399,6420.333333333333,19536.133333333317,41181.40499999995,83.05833333333334
100,60,fibonacci_python_b1,6,5952.833333333333,8.35264429187947,5942,5962,3553.3333333333335,97.54315284358337,3441,3695,173037.16666666666,109449.66767864884,86500,348303,9643.82969275054,1440.6841529716085,8197.03214405924,11408.184992445862,6502.083333333333,165.1627732470809,6294.5,6797.5,24186.391666666663,5978.401466146005,18678.249999999993,33097.65000000001,59716.02666666653,31075.890924263025,32743.340000000004,112399.1999999994,99.21388888888889,0.1392107381979899,99.03333333333333,99.36666666666666,5952.833333333333,3553.3333333333335,173037.16666666666,9643.82969275054,6502.083333333333,24186.391666666663,59716.02666666653,99.21388888888889
120,60,fibonacci_python_b1,6,7392.666666666667,7.366591251499344,7382,7402,3427.8333333333335,73.19403436528599,3356,3569,246981.83333333334,116888.46347080906,110832,392038,12063.059443107732,3546.5438312080028,8555.123343251285,15455.564553197242,6791.083333333333,301.7254408674659,6524.0,7231.0,36545.72499999999,17467.83767438746,19822.749999999996,53656.75,82003.16499999976,47655.008845572745,36048.60999999999,137528.04999999993,123.21111111111111,0.12277652085832211,123.03333333333333,123.36666666666666,7392.666666666667,3427.8333333333335,246981.83333333334,12063.059443107732,6791.083333333333,36545.72499999999,82003.16499999976,123.21111111111111
140,60,fibonacci_python_b1,6,8404.666666666666,13.396516960264957,8387,8425,3407.1666666666665,160.29275300732303,3206,3592,282776.5,116072.0838578338,81190,378024,15105.014469410991,6687.090174198936,8807.867396738484,22099.873215984775,7585.75,1280.0957679017613,6358.0,9273.0,47000.291666666635,28346.862329619766,20493.199999999986,76293.9499999999,100857.62,66345.87140159516,38252.0,190303.91000000015,140.07777777777775,0.2232752826710793,139.78333333333333,140.41666666666666,8404.666666666666,3407.1666666666665,282776.5,15105.014469410991,7585.75,47000.291666666635,100857.62,140.07777777777775
160,60,fibonacci_python_b1,6,9746.5,11.058933040759403,9737,9767,3358.5,129.14449272036342,3212,3519,302755.8333333333,185997.84921704518,140023,568474,18724.517957419495,10098.867985004475,9385.468567326428,30255.953619330397,10725.416666666666,4381.542107713523,6822.0,16721.0,51822.47499999997,30827.148784760328,22651.0,87088.79999999993,108090.04666666668,72365.74494485489,41539.5,217579.20000000013,162.4416666666667,0.1843155506793246,162.28333333333333,162.78333333333333,9746.5,3358.5,302755.8333333333,18724.517957419495,10725.416666666666,51822.47499999997,108090.04666666668,162.4416666666667
180,60,fibonacci_python_b1,6,11539.666666666666,49.330180079406425,11482,11603,3312.5,163.3630925270454,3128,3587,293105.0,114772.45620618215,168849,413841,26585.656448501486,18124.740581064354,9902.032663966216,47250.91186204494,20275.916666666668,14601.00701464343,7052.0,36852.5,70683.89999999998,51106.83505281851,24085.499999999993,129762.29999999996,125841.25833333311,83289.34954598635,46211.11999999976,236084.63000000015,192.32777777777778,0.8221696679901044,191.36666666666667,193.38333333333333,11539.666666666666,3312.5,293105.0,26585.656448501486,20275.916666666668,70683.89999999998,125841.25833333311,192.32777777777778
200,60,fibonacci_python_b1,6,11534.333333333334,93.01326070333556,11394,11628,3354.3333333333335,126.60121115797695,3184,3517,452261.3333333333,366572.2634071851,121227,1126823,27032.88168908378,16711.65475727032,9950.05744754042,42513.03406451613,19952.25,14025.471089236184,7011.5,33926.5,68636.93333333333,45249.686475727816,25091.25,114179.09999999998,127362.1133333334,75848.58598215596,49516.66999999975,212801.2000000005,192.2388888888889,1.55022101172226,189.9,193.8,11534.333333333334,3354.3333333333335,452261.3333333333,27032.88168908378,19952.25,68636.93333333333,127362.1133333334,192.2388888888889
220,60,fibonacci_python_b1,6,14036.833333333334,269.8232137282978,13689,14324,3557.0,236.64826219518284,3296,3850,341129.3333333333,131405.50812453285,189444,529304,41149.30373936511,31194.419127216985,12432.984641161687,76307.39133610929,33926.0,28025.5707684964,8085.0,62051.0,103625.31666666664,75846.86751322473,33768.349999999984,194309.59999999992,166231.35666666648,110761.63236868691,69839.37999999983,337932.9199999988,233.94722222222222,4.497053562138291,228.15,238.73333333333332,14036.833333333334,3557.0,341129.3333333333,41149.30373936511,33926.0,103625.31666666664,166231.35666666648,233.94722222222222
240,60,fibonacci_python_b1,6,14045.5,206.42940681986178,13842,14269,3421.3333333333335,275.0161207396153,3213,3912,351463.1666666667,101382.25222476895,246011,497046,39049.399686395096,29923.674099066884,11817.983180320976,77791.29906812106,32171.583333333332,26602.901910161356,7898.0,65118.0,99074.06666666664,73379.8043014743,32056.999999999978,191377.59999999998,168248.63833333334,116837.65265294275,66921.75999999998,334476.49999999994,234.09166666666667,3.4404901136643637,230.7,237.81666666666666,14045.5,3421.3333333333335,351463.1666666667,39049.399686395096,32171.583333333332,99074.06666666664,168248.63833333334,234.09166666666667
260,60,fibonacci_python_b1,6,17153.833333333332,414.73529710728343,16591,17612,3710.8333333333335,516.2287929461768,3222,4458,457751.3333333333,208065.7973984832,269893,729428,76266.65680214437,54735.20485475748,27768.883415813096,149014.7151152456,61386.75,48373.200473764395,17278.5,124404.0,188254.8666666666,124963.58639070677,80862.85,367552.7999999996,288480.7999999999,181997.28265328347,121830.56,526504.4800000001,285.8972222222222,6.912254951788061,276.51666666666665,293.53333333333336,17153.833333333332,3710.8333333333335,457751.3333333333,76266.65680214437,61386.75,188254.8666666666,288480.7999999999,285.8972222222222
280,60,fibonacci_python_b1,6,17093.0,325.2230004166372,16733,17548,3657.0,351.46493423953405,3143,4093,558388.8333333334,218251.47451819578,340693,953232,79880.87551646687,55586.4426056602,28184.186801914748,149487.436339134,61113.583333333336,47949.03118564198,16260.5,112340.0,217617.31666666653,148108.41747628525,87376.19999999994,449889.0999999993,332136.05333333317,202081.73884270692,158171.9199999997,661178.4800000001,284.8833333333333,5.420383340277288,278.8833333333333,292.46666666666664,17093.0,3657.0,558388.8333333334,79880.87551646687,61113.583333333336,217617.31666666653,332136.05333333317,284.8833333333333
300,60,fibonacci_python_b1,6,16922.166666666668,104.91790441419742,16734,17007,4068.0,752.3759698448641,3462,5323,499555.6666666667,173627.53237049322,286553,717562,79770.04323041947,53370.33035147674,29715.478555039124,144413.96032030595,65828.41666666667,51405.16608903882,18474.0,122670.5,187676.79166666663,102458.63300367819,91525.79999999997,339014.99999999994,281054.415,127951.83369169923,155588.60000000027,499140.8499999999,282.0361111111111,1.7486317402366311,278.9,283.45,16922.166666666668,4068.0,499555.6666666667,79770.04323041947,65828.41666666667,187676.79166666663,281054.415,282.0361111111111
