min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4512,333559,9149.450833333334,7016.0,17538.449999999997,32340.64999999999,13059.434044752832,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5117,72631,8822.713333333333,7274.0,18221.75,31102.39,5185.196661119893,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
4641,45169,8590.235,7140.0,18267.6,29633.91999999998,4781.902477721776,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
3731,93967,8111.5975,6758.0,16442.3,30145.029999999977,4846.238108109604,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4177,106752,8287.74239266361,6829.0,16389.499999999993,28430.679999999993,4848.128249142429,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter02_rps39.98_lat.csv
4578,61010,8203.507083333334,6826.0,16795.24999999999,29922.13999999988,4612.029314822615,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4316,51650,8219.55,6835.0,16469.64999999999,30755.439999999988,4564.048613073704,40.0,40.0,2400,target_rps40.00_iter03_rps40.00_lat.csv
3772,106683,9075.798984228815,7177.0,20241.0,34226.99999999999,6300.950355436259,62.35,62.35,3741,target_rps60.00_iter01_rps62.35_lat.csv
3895,148283,8561.184611274379,6691.0,17496.299999999996,36716.53999999998,7245.141453861594,62.38333333333333,62.38333333333333,3743,target_rps60.00_iter01_rps62.38_lat.csv
3885,146083,8159.890345012035,6388.0,17301.799999999996,33021.55999999999,6460.2241461059475,62.31666666666667,62.31666666666667,3739,target_rps60.00_iter02_rps62.32_lat.csv
4004,77972,8030.598026140304,6477.0,17408.399999999998,30888.519999999993,5168.836378108818,62.483333333333334,62.483333333333334,3749,target_rps60.00_iter02_rps62.48_lat.csv
3957,124285,8483.71165152325,6638.5,17383.899999999965,39085.1700000002,7412.078287916133,62.36666666666667,62.36666666666667,3742,target_rps60.00_iter03_rps62.36_lat.csv
3667,114961,8508.000534188035,6583.0,18248.149999999994,33819.47000000011,6689.107685259651,62.4,62.4,3744,target_rps60.00_iter03_rps62.40_lat.csv
3557,240636,8358.335476094817,6372.0,17768.94999999999,32015.08999999992,9033.446907848265,82.96666666666667,82.96666666666667,4978,target_rps80.00_iter01_rps82.97_lat.csv
3624,138236,8842.28422529565,6346.0,21805.39999999994,50302.56,8926.200070822033,83.15,83.15,4989,target_rps80.00_iter01_rps83.15_lat.csv
3835,78173,8055.386454983923,6354.0,17643.75,31699.75,5554.61213680334,82.93333333333334,82.93333333333334,4976,target_rps80.00_iter02_rps82.93_lat.csv
3725,210772,9375.645975170204,6588.0,21979.049999999967,51489.26999999995,11605.11807486053,83.23333333333333,83.23333333333333,4994,target_rps80.00_iter02_rps83.23_lat.csv
3572,179464,8214.842707914826,6482.0,17221.649999999987,32272.75999999982,6629.928869872902,82.96666666666667,82.96666666666667,4978,target_rps80.00_iter03_rps82.97_lat.csv
3893,120443,8735.492980344967,6380.0,20798.0,49309.0,8435.332561721916,83.1,83.1,4986,target_rps80.00_iter03_rps83.08_lat.csv
3480,86500,8197.03214405924,6294.5,18678.249999999993,32743.340000000004,5894.906317482783,99.03333333333333,99.03333333333333,5942,target_rps100.00_iter01_rps99.02_lat.csv
3441,149817,10985.619295302013,6797.5,33097.65000000001,73378.43999999996,12677.115128837297,99.33333333333333,99.33333333333333,5960,target_rps100.00_iter01_rps99.33_lat.csv
3549,348303,11408.184992445862,6506.0,26979.399999999998,112399.1999999994,22486.518136145816,99.28333333333333,99.28333333333333,5957,target_rps100.00_iter02_rps99.28_lat.csv
3695,100660,8413.654478362965,6487.0,18750.95,34594.480000000076,5940.53280738322,99.36666666666666,99.36666666666666,5962,target_rps100.00_iter02_rps99.37_lat.csv
