min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4807,230324,10188.771666666667,7906.5,21165.749999999985,41569.64,11087.728860525522,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4966,85576,8858.455,7396.5,16116.249999999984,34037.7,5500.301134450882,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5082,207637,10032.060833333333,8225.0,19966.69999999998,34192.85999999999,9247.85635091358,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4092,238734,9112.797083333333,7118.0,17278.94999999999,36841.20999999999,11238.655722849662,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
3904,92392,8650.9825,7112.5,17641.34999999998,31869.41999999992,5513.858974033257,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
3553,123030,8194.929107589658,6669.0,17569.400000000012,29998.70000000014,5915.400738599793,39.96666666666667,39.96666666666667,2398,target_rps40.00_iter03_rps39.97_lat.csv
2980,184895,9076.573450854701,6747.5,21150.999999999993,47577.30000000002,9458.91700006134,62.4,62.4,3744,target_rps60.00_iter01_rps62.40_lat.csv
3334,145932,8649.808811748999,6498.0,19236.799999999952,47359.2,8503.074995678837,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter02_rps62.42_lat.csv
3454,192145,8097.450760608487,6400.0,17560.299999999992,30689.85999999999,6898.070364189554,62.45,62.45,3747,target_rps60.00_iter03_rps62.45_lat.csv
3324,145625,8318.150261149056,6095.5,20071.449999999975,44513.26999999989,8009.337143561228,82.96666666666667,82.96666666666667,4978,target_rps80.00_iter01_rps82.97_lat.csv
3035,182481,9449.53232931727,6410.0,23923.650000000005,59872.50000000003,11408.456586422906,83.0,83.0,4980,target_rps80.00_iter02_rps83.00_lat.csv
3460,103758,9003.298834405145,6637.5,22262.5,43727.75,7738.379217466054,82.93333333333334,82.93333333333334,4976,target_rps80.00_iter03_rps82.93_lat.csv
3257,133256,8817.041912136005,6233.0,22502.0,48502.40000000005,8531.054175816098,99.01666666666667,99.01666666666667,5941,target_rps100.00_iter01_rps99.01_lat.csv
3149,258223,10295.067856541506,6677.0,28106.399999999998,62041.01999999999,12776.52146670995,98.98333333333333,98.98333333333333,5939,target_rps100.00_iter02_rps98.98_lat.csv
3343,269440,10890.284653047442,6814.0,28009.199999999964,71890.07999999984,16251.434161189314,98.71666666666667,98.71666666666667,5923,target_rps100.00_iter03_rps98.72_lat.csv
3377,172014,15080.81768707483,8477.5,48935.649999999936,83308.42000000032,16471.321105880383,122.5,122.5,7350,target_rps120.00_iter01_rps122.50_lat.csv
3303,393836,15019.112766539092,8201.0,46281.75,83441.95000000016,22571.800228691664,121.93333333333334,121.93333333333334,7316,target_rps120.00_iter02_rps121.93_lat.csv
