rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_nodejs_b1,3,1200.0,0.0,1200,1200,4951.666666666667,138.0591660605457,4807,5082,174512.33333333334,77851.9655007716,85576,230324,9693.095833333335,727.0547172128987,8858.455,10188.771666666667,7842.666666666667,417.9223412708794,7396.5,8225.0,19082.899999999983,2638.21708593133,16116.249999999984,21165.749999999985,36600.06666666666,4304.475925467972,34037.7,41569.64,20.0,0.0,20.0,20.0,1200.0,4951.666666666667,174512.33333333334,9693.095833333335,7842.666666666667,19082.899999999983,36600.06666666666,20.0
40,60,fibonacci_nodejs_b1,3,2399.3333333333335,1.1547005383792517,2398,2400,3849.6666666666665,273.57692397812605,3553,4092,151385.33333333334,77181.69431499501,92392,238734,8652.90289697433,458.93700130557363,8194.929107589658,9112.797083333333,6966.5,257.6572335487595,6669.0,7118.0,17496.566666666662,191.86443347669623,17278.94999999999,17641.34999999998,32903.11000000002,3536.434933248405,29998.70000000014,36841.20999999999,39.98888888888889,0.019245008972986432,39.96666666666667,40.0,2399.3333333333335,3849.6666666666665,151385.33333333334,8652.90289697433,6966.5,17496.566666666662,32903.11000000002,39.98888888888889
60,60,fibonacci_nodejs_b1,3,3745.3333333333335,1.5275252316519465,3744,3747,3256.0,246.4386333349542,2980,3454,174324.0,24853.970970450577,145932,192145,8607.94434107073,490.90201269461573,8097.450760608487,9076.573450854701,6548.5,179.1696123788853,6400.0,6747.5,19316.03333333331,1796.660809205048,17560.299999999992,21150.999999999993,41875.45333333333,9687.621770410607,30689.85999999999,47577.30000000002,62.42222222222222,0.025458753860868207,62.4,62.45,3745.3333333333335,3256.0,174324.0,8607.94434107073,6548.5,19316.03333333331,41875.45333333333,62.42222222222222
80,60,fibonacci_nodejs_b1,3,4978.0,2.0,4976,4980,3273.0,217.04147069166297,3035,3460,143954.66666666666,39388.07170112969,103758,182481,8923.660474957158,569.8798533593036,8318.150261149056,9449.53232931727,6381.0,272.1612573457141,6095.5,6637.5,22085.866666666658,1932.1647732099332,20071.449999999975,23923.650000000005,49371.1733333333,9102.892767556596,43727.75,59872.50000000003,82.96666666666667,0.03333333333333144,82.93333333333334,83.0,4978.0,3273.0,143954.66666666666,8923.660474957158,6381.0,22085.866666666658,49371.1733333333,82.96666666666667
100,60,fibonacci_nodejs_b1,3,5934.333333333333,9.865765724632496,5923,5941,3249.6666666666665,97.20768145230772,3149,3343,220306.33333333334,75596.13530024755,133256,269440,10000.798140574983,1067.4876416084426,8817.041912136005,10890.284653047442,6574.666666666667,303.71752226918574,6233.0,6814.0,26205.866666666654,3208.010781361756,22502.0,28106.399999999998,60811.16666666663,11742.244179105242,48502.40000000005,71890.07999999984,98.90555555555557,0.16442942874387373,98.71666666666667,99.01666666666667,5934.333333333333,3249.6666666666665,220306.33333333334,10000.798140574983,6574.666666666667,26205.866666666654,60811.16666666663,98.90555555555557
120,60,fibonacci_nodejs_b1,3,7337.0,18.35755975068582,7316,7350,3242.6666666666665,172.59876399711945,3048,3377,274473.3333333333,111872.88290436308,172014,393836,14652.164246961393,689.7019160498736,13856.562287270252,15080.81768707483,8062.5,498.8835034354213,7509.0,8477.5,46793.26666666664,1937.9346908070017,45162.39999999998,48935.649999999936,83729.49666666676,617.3069225539572,83308.42000000032,84438.11999999984,122.28333333333335,0.3059593291780958,121.93333333333334,122.5,7337.0,3242.6666666666665,274473.3333333333,14652.164246961393,8062.5,46793.26666666664,83729.49666666676,122.28333333333335
140,60,fibonacci_nodejs_b1,3,8405.333333333334,25.50163393458022,8380,8431,3291.3333333333335,58.70547958524258,3230,3347,228637.0,16294.13468092123,214882,246632,17917.43784858985,1125.310855237336,16689.33830548926,18899.11944016131,8984.166666666666,718.7820137797922,8261.5,9699.0,58508.449999999975,1745.8598977294853,56809.25,60297.5,102923.48333333316,7738.431247082959,95250.34999999998,110725.59999999954,140.08888888888887,0.425027232243015,139.66666666666666,140.51666666666668,8405.333333333334,3291.3333333333335,228637.0,17917.43784858985,8984.166666666666,58508.449999999975,102923.48333333316,140.08888888888887
160,60,fibonacci_nodejs_b1,3,9703.333333333334,42.0039680665212,9661,9745,3170.6666666666665,25.794056162870802,3142,3192,310832.6666666667,74113.60987924779,257656,395490,25247.429634214903,2131.1838228459505,23484.64730631093,27615.89622835944,14612.666666666666,962.725990785194,13584.0,15492.0,72380.45000000003,5725.61418168396,68042.99999999999,78870.35000000006,122175.58999999966,28796.1164006376,104705.59999999992,155411.92999999903,161.7222222222222,0.7000661344420086,161.01666666666668,162.41666666666666,9703.333333333334,3170.6666666666665,310832.6666666667,25247.429634214903,14612.666666666666,72380.45000000003,122175.58999999966,161.7222222222222
180,60,fibonacci_nodejs_b1,3,11444.333333333334,35.303446479534166,11412,11482,3252.6666666666665,48.18021724041241,3220,3308,406833.6666666667,178520.62630501087,222154,578481,36411.611435163126,2562.061025179577,33492.332371710814,38286.59902456018,27076.0,1602.6537367753522,25289.0,28386.0,92584.91666666667,5315.831207424969,86525.1,96461.59999999999,168059.51333333392,44697.81007868977,127887.32000000011,216208.76000000187,190.7388888888889,0.5883907746589117,190.2,191.36666666666667,11444.333333333334,3252.6666666666665,406833.6666666667,36411.611435163126,27076.0,92584.91666666667,168059.51333333392,190.7388888888889
200,60,fibonacci_nodejs_b1,3,11574.333333333334,26.633312473917574,11545,11597,3126.6666666666665,86.69678963683334,3047,3219,358298.3333333333,93989.7010120435,276496,460968,34929.58161280104,1616.050153062225,33102.949399879115,36173.32042769682,24660.0,1262.4076203825769,23239.0,25652.0,93591.1333333333,5361.682502100773,90277.0,99777.0,176189.74666666667,21941.745433226843,152665.20000000004,196099.83999999994,192.90555555555557,0.44388854123196564,192.41666666666666,193.28333333333333,11574.333333333334,3126.6666666666665,358298.3333333333,34929.58161280104,24660.0,93591.1333333333,176189.74666666667,192.90555555555557
