HashFunction,HashOwner,HashApp,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
f28d3a2156c4174952116730a28f4fbae781683917b9277580bebf4473327b8d,486e10ac87f2c7495ab672094483c49e935e6f7e19b2b9b7157be7f9f949244c,2aa4e347c20608f47697481b94656267d10ea7ea57486df4025e5348ff68dfc7,21681,58.25,26.5,27.0,44.75,57.5,70.75,92.5,117.75,139.5
847320b3eac83f5990a5107116323b25620b88c0fd03bde58f1b1f2f831d48d1,486e10ac87f2c7495ab672094483c49e935e6f7e19b2b9b7157be7f9f949244c,677e5dae147d2467c6491937d1a75e3720144557bf70e25f0dc4feac8911a07b,43922,57.66666666666666,30.33333333333333,40.333333333333336,48.0,56.66666666666666,65.66666666666667,83.33333333333333,117.33333333333331,131.33333333333334
ededfc42fa499b028b539d137e0634996cfe0ae2faf920e1fbed00a4679158a4,486e10ac87f2c7495ab672094483c49e935e6f7e19b2b9b7157be7f9f949244c,bb1634dfb2dc4e7bd96f1d318b9b5e3565df0d27b9eef31030218acb57f02001,51021,48.5,26.5,27.5,37.25,48.5,58.25,70.25,80.5,130.75
a550c2a2a47dcbc98874ea592aa955e8580225b4e3db8a353d2bb86f39d668d2,4228d738659d98640b0c74f0391ac501da6ba97abc7e9101423c5fdc8d280961,add08dca67afc7028f0f5980716b2cc87af10146edf7a3ea3d5788a7d3ef9b6b,17255,127.0,108.0,111.0,119.0,126.0,135.0,152.0,154.0,155.0
17ac6d922cb2e06471e1f8b710ae059def1ef97bf247ded9a02b38ede83eeec6,9c6a645b99a13f7918c718183ac495443e3e0aa9f3a103e1945fbda570b23d47,94ff0d022e101352521638f6c4845053bc84c50e03d429b1880f96c179047764,21623,286.0,113.0,120.0,289.0,297.0,304.0,328.0,338.0,358.0
491247255d781c7d417566edda109488694a6b293e6f9d5a9c24094ced555537,0cd245ac021aee2c4a4beee4c59c981cdfe48223c7f6a1c96cffffdef7013392,9afc9e98c71094f1fc6068a7427662ad705f1205a98328f3aa742b70cec34993,1494,86.0,41.0,42.5,88.0,94.0,99.5,101.0,102.5,116.5
17272a0078fca38f30952a381215af3d2cc545677b3d47bcf6ca08643d3f32b8,9a2092913aae123098134ac8cb0dbee9250d2596deccdb55bc357d248b84edfd,5acdfa2b4e0a6a5bbb022fb9c8cf0dc5c3931f0769e41130fcca4d402979e587,3914,59.5,53.0,56.0,58.0,59.0,59.5,71.0,72.0,72.5
8be747e15a7d0384e43a34acc3cdac03bb1ab1d15036548ae613c0fca3e5897b,9a857b73685842dc829ab988745ab9cc5c94ceb94e2271ce415ba2c0ce1376c1,08396e62c7c6468d1995a3bc1a47d35d2598e31e28e0c8c8415edf334eb9f2ff,19783,62.66666666666666,58.333333333333336,59.66666666666666,61.333333333333336,63.0,64.33333333333333,65.33333333333333,68.33333333333333,93.0
f4f1c519a874c1019687710d10003afd1ec02de42ef1a087ec05527dabd4b2c1,9216c5111361ea6e29b86782f13148356d424fc9cf902bd44a286485953cbdd8,7e89ccddf0fba168c7978d3909bf7c4d3898248871e085e758e887a30475ac73,15715,21.0,9.666666666666666,10.77777777777778,20.77777777777778,22.444444444444443,23.33333333333333,24.22222222222222,24.33333333333333,32.22222222222222
5e08ca82290a2e4545546c182d073696d3648fe245200d5fc8cbeb4c2b21724c,e56a7a29e50ac84ffa9ee7dee72d4df4e403634be818380edb5be7d3d8c5ee97,75c0d1ed3591cef43631a4d41b9d2969d88661782c7f81671f784266eff8ed9f,17153,901.0,155.0,165.0,689.0,936.0,1212.0,1433.0,1517.0,1533.0
7c9803b5789081f68cd84f1191eec2f8d89826cb2ab9666dd26a5a17d64376a8,ce0e463d122060f30ebbbe9f80f264a393ffaad7a9c7ee536c51236ba8d40046,65d77a5ae4421add87c650d4d4b8fdeff6a389d016eb3b0c554bd8e2465053e4,5168,64.0,54.0,56.5,58.5,66.0,66.0,68.0,117.0,119.0
40d07b9935b0d765eec41cedf70847d06699c0df3e24e1216e0ca893e6e8f71d,9fb0a964dbdb18c9626cddbdd698a57ad68543c41855ef6a88cf1bdce99ddceb,6f06e9904da7f060d7c1ca63407293ccb473561139a9a3a8665909c964748d7d,319572,113.5,66.5,96.0,108.5,114.0,122.5,129.5,135.0,207.5
f563545972401e39fc5a73c2c3b0e1d4b3f9c1ebc050956120f4bcaa548d5349,e709d3e60037af16bb9c11080acd9df0c7a6efcb0efb986d1f8b00e975b503b4,1bd434d4cfc6553d075f39dcdd00c07740d2b4822263a18b8492f919f8551127,9296,18.0,16.428571428571427,16.714285714285715,17.142857142857142,17.571428571428573,18.142857142857142,20.857142857142858,21.571428571428573,21.571428571428573
93c0e06e4a59ab440accff620e97cc4b77de6a82ff8083fa0b868f838825038f,dce7122387d3e63e9fe17beab7f689b53f50c1f330bd70dad11e0c45502ff50e,40f6b3fe962ad7f57ee5e8e39ffdc92810264e21dd3961c334b6e5590be52e04,33181,39.66666666666666,30.666666666666668,34.0,35.0,38.333333333333336,44.0,46.0,63.66666666666666,63.66666666666666
d0b9270800d742440b68748392de34456ac10b037bda6c28f431560ed5be2e41,d0242f7ee62e2734ed4f784068be7a73a5ba31450c82a868b1c4754912f33b70,c9cc809ac0fe303590fc058c55b46270f19db79b8d88828c3d7cfdab8d19181d,6376,29.5,25.75,26.5,29.25,29.5,29.75,34.5,34.75,36.5
779df38d24a4e2875fe5554212c79d755ed5a16bb7cf73efc96d75382216dce7,47f58d92827f16be8e51b9e0edc6bc77ffd1f5bb4d7d5d5f11c5bdd6e7435f8d,542a1aaface036fbea0c24b9c6934c27b1e2e947cc2609014e190fff8d7640f3,3982,69.0,53.0,58.5,66.5,69.0,70.5,77.5,78.0,78.0
040671a98d6adef301311aa3eab7d3a9c048b8b9f8f91caa87d974c38d0b13b8,399cf2b01189870a10f38f4b3715be9b68e7d7a1725ba4f4476be726beac653b,a460bd4004b0212ac55d1fb6f250674705b5eb8984a816952699d87c20722931,12751,157.0,105.0,114.0,145.0,160.0,171.0,194.0,198.0,198.0
