timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-13T10:06:58.022236,2,17,78
2025-08-13T10:07:00.309267,2,17,78
2025-08-13T10:07:02.536630,2,17,78
2025-08-13T10:07:04.800818,2,17,78
2025-08-13T10:07:07.069616,2,17,78
2025-08-13T10:07:09.311293,2,39,84
2025-08-13T10:07:11.648687,2,39,84
2025-08-13T10:07:13.948613,2,39,84
2025-08-13T10:07:16.245467,2,39,84
2025-08-13T10:07:18.574916,2,39,84
2025-08-13T10:07:20.869710,2,39,84
2025-08-13T10:07:23.157548,2,39,84
2025-08-13T10:07:25.422919,2,137,98
2025-08-13T10:07:27.736646,2,137,98
2025-08-13T10:07:30.018158,2,137,98
2025-08-13T10:07:32.285799,2,137,98
2025-08-13T10:07:34.528680,2,137,98
2025-08-13T10:07:36.810986,2,137,98
2025-08-13T10:07:39.114462,2,177,107
2025-08-13T10:07:41.412617,2,177,107
2025-08-13T10:07:43.700700,2,177,107
2025-08-13T10:07:45.942597,2,177,107
2025-08-13T10:07:48.244715,2,177,107
2025-08-13T10:07:50.536652,2,177,107
2025-08-13T10:07:52.790407,2,177,107
2025-08-13T10:07:55.086176,2,176,106
2025-08-13T10:07:57.411791,2,176,106
2025-08-13T10:07:59.720628,2,176,106
2025-08-13T10:08:02.020192,2,176,106
2025-08-13T10:08:04.312625,2,176,106
2025-08-13T10:08:06.644611,2,176,106
2025-08-13T10:08:08.936492,2,178,106
2025-08-13T10:08:11.212620,2,178,106
2025-08-13T10:08:13.572552,2,178,106
2025-08-13T10:08:15.927861,2,178,106
2025-08-13T10:08:18.168591,2,178,106
2025-08-13T10:08:20.426927,2,178,106
2025-08-13T10:08:22.644653,2,178,106
2025-08-13T10:08:24.872626,2,175,109
2025-08-13T10:08:27.192700,2,175,109
2025-08-13T10:08:29.468628,2,175,109
2025-08-13T10:08:31.802794,2,175,109
2025-08-13T10:08:34.112614,2,175,109
2025-08-13T10:08:36.371611,2,175,109
2025-08-13T10:08:38.655236,2,178,108
2025-08-13T10:08:40.930773,2,178,108
