timestamp,pod_count,cpu_percent,memory_percent
2025-07-28T10:08:21.349048,2,1.5,8.3984375
2025-07-28T10:08:24.276642,2,1.5,8.3984375
2025-07-28T10:08:27.210551,2,1.4000000000000001,8.3984375
2025-07-28T10:08:30.221841,2,1.4000000000000001,8.3984375
2025-07-28T10:08:33.117168,2,1.4000000000000001,8.3984375
2025-07-28T10:08:36.086631,2,1.4000000000000001,8.3984375
2025-07-28T10:08:39.102686,2,1.4000000000000001,8.3984375
2025-07-28T10:08:42.094606,2,6.4,9.375
2025-07-28T10:08:44.981712,2,6.4,9.375
2025-07-28T10:08:48.002548,2,6.4,9.375
2025-07-28T10:08:51.066606,2,6.4,9.375
2025-07-28T10:08:53.990794,2,6.4,9.375
2025-07-28T10:08:56.993948,2,7.8,9.765625
2025-07-28T10:08:59.999071,2,7.8,9.765625
2025-07-28T10:09:02.878698,2,7.8,9.765625
2025-07-28T10:09:05.890584,2,7.8,9.765625
2025-07-28T10:09:08.996911,2,7.8,9.765625
2025-07-28T10:09:12.119213,2,7.3999999999999995,10.15625
2025-07-28T10:09:15.054911,2,7.3999999999999995,10.15625
2025-07-28T10:09:17.989260,2,7.3999999999999995,10.15625
2025-07-28T10:09:21.001124,2,7.3999999999999995,10.15625
2025-07-28T10:09:23.931299,2,7.3999999999999995,10.15625
2025-07-28T10:09:26.753492,2,7.7,10.15625
2025-07-28T10:09:29.794106,2,7.7,10.15625
2025-07-28T10:09:32.694662,2,7.7,10.15625
2025-07-28T10:09:35.593012,2,7.7,10.15625
2025-07-28T10:09:38.621038,2,7.7,10.15625
2025-07-28T10:09:41.770588,2,10.0,10.25390625
2025-07-28T10:09:44.668797,2,10.0,10.25390625
2025-07-28T10:09:47.497125,2,10.0,10.25390625
2025-07-28T10:09:50.613402,2,10.0,10.25390625
2025-07-28T10:09:53.491355,2,10.0,10.25390625
2025-07-28T10:09:56.430633,2,11.700000000000001,10.3515625
2025-07-28T10:09:59.465082,2,11.700000000000001,10.3515625
2025-07-28T10:10:02.378594,2,11.700000000000001,10.3515625
2025-07-28T10:10:05.251275,2,11.700000000000001,10.3515625
2025-07-28T10:10:08.166596,2,11.700000000000001,10.3515625
2025-07-28T10:10:11.194549,2,12.5,10.3515625
2025-07-28T10:10:14.045961,2,12.5,10.3515625
2025-07-28T10:10:17.020041,2,12.5,10.3515625
2025-07-28T10:10:19.946709,2,12.5,10.3515625
2025-07-28T10:10:23.049331,2,12.5,10.3515625
2025-07-28T10:10:26.049384,2,12.1,10.25390625
2025-07-28T10:10:28.924878,2,12.1,10.25390625
2025-07-28T10:10:32.190610,2,12.1,10.25390625
2025-07-28T10:10:35.073018,2,12.1,10.25390625
2025-07-28T10:10:37.915483,2,12.1,10.25390625
2025-07-28T10:10:40.858026,2,12.8,10.44921875
2025-07-28T10:10:43.793488,2,12.8,10.44921875
2025-07-28T10:10:46.799696,2,12.8,10.44921875
2025-07-28T10:10:49.699889,2,12.8,10.44921875
2025-07-28T10:10:52.644334,2,12.8,10.44921875
2025-07-28T10:10:55.578563,2,12.8,10.44921875
2025-07-28T10:10:58.814614,2,16.2,10.3515625
2025-07-28T10:11:02.068170,2,16.2,10.3515625
2025-07-28T10:11:05.100868,2,16.2,10.3515625
2025-07-28T10:11:08.086966,2,16.2,10.3515625
2025-07-28T10:11:11.058600,2,17.599999999999998,10.546875
2025-07-28T10:11:14.214803,2,17.599999999999998,10.546875
2025-07-28T10:11:17.237348,2,17.599999999999998,10.546875
2025-07-28T10:11:20.219628,2,17.599999999999998,10.546875
2025-07-28T10:11:23.273072,2,17.599999999999998,10.546875
2025-07-28T10:11:26.187632,2,17.9,10.3515625
2025-07-28T10:11:29.190831,2,17.9,10.3515625
2025-07-28T10:11:32.073129,2,17.9,10.3515625
2025-07-28T10:11:35.160279,2,17.9,10.3515625
2025-07-28T10:11:38.036267,2,17.9,10.3515625
2025-07-28T10:11:41.089455,2,16.1,10.44921875
2025-07-28T10:11:44.257264,2,16.1,10.44921875
2025-07-28T10:11:47.179974,2,16.1,10.44921875
2025-07-28T10:11:50.204571,2,16.1,10.44921875
2025-07-28T10:11:53.230126,2,16.1,10.44921875
2025-07-28T10:11:56.277968,2,20.599999999999998,10.546875
2025-07-28T10:11:59.322610,2,20.599999999999998,10.546875
2025-07-28T10:12:02.506970,2,20.599999999999998,10.546875
2025-07-28T10:12:05.552773,2,20.599999999999998,10.546875
2025-07-28T10:12:08.618603,2,20.599999999999998,10.546875
2025-07-28T10:12:11.626596,2,21.7,10.546875
2025-07-28T10:12:14.586584,2,21.7,10.546875
2025-07-28T10:12:17.536811,2,21.7,10.546875
2025-07-28T10:12:20.582774,2,21.7,10.546875
2025-07-28T10:12:23.583283,2,21.7,10.546875
2025-07-28T10:12:26.721679,2,22.2,10.546875
2025-07-28T10:12:30.258512,2,22.2,10.546875
2025-07-28T10:12:33.259500,2,22.2,10.546875
2025-07-28T10:12:36.459484,2,22.2,10.546875
2025-07-28T10:12:39.720574,2,22.2,10.546875
2025-07-28T10:12:43.009415,2,20.9,10.546875
2025-07-28T10:12:46.169971,2,20.9,10.546875
2025-07-28T10:12:49.640679,2,20.9,10.546875
2025-07-28T10:12:53.213098,2,20.9,10.546875
2025-07-28T10:12:56.658642,2,28.000000000000004,10.83984375
2025-07-28T10:13:00.023665,2,28.000000000000004,10.83984375
2025-07-28T10:13:03.210073,2,28.000000000000004,10.83984375
2025-07-28T10:13:06.326466,2,28.000000000000004,10.83984375
2025-07-28T10:13:09.450934,2,28.000000000000004,10.83984375
2025-07-28T10:13:12.634779,2,42.4,10.83984375
2025-07-28T10:13:16.195065,2,42.4,10.83984375
2025-07-28T10:13:19.254725,2,42.4,10.83984375
2025-07-28T10:13:22.329956,2,42.4,10.83984375
2025-07-28T10:13:25.359066,2,42.4,10.83984375
2025-07-28T10:13:28.463095,2,42.1,10.83984375
2025-07-28T10:13:31.833453,2,42.1,10.83984375
2025-07-28T10:13:34.733260,2,42.1,10.83984375
2025-07-28T10:13:37.754651,2,42.1,10.83984375
2025-07-28T10:13:41.503578,2,27.400000000000002,10.64453125
2025-07-28T10:13:44.445800,2,27.400000000000002,10.64453125
2025-07-28T10:13:47.550665,2,27.400000000000002,10.64453125
2025-07-28T10:13:50.730203,2,27.400000000000002,10.64453125
2025-07-28T10:13:53.851906,2,27.400000000000002,10.64453125
2025-07-28T10:13:57.026766,2,31.1,10.546875
2025-07-28T10:14:01.030595,2,31.1,10.546875
2025-07-28T10:14:04.326561,2,31.1,10.546875
2025-07-28T10:14:07.418956,2,31.1,10.546875
2025-07-28T10:14:10.723791,2,31.1,10.546875
2025-07-28T10:14:13.959695,2,35.4,10.44921875
2025-07-28T10:14:16.956003,2,35.4,10.44921875
2025-07-28T10:14:20.163542,2,35.4,10.44921875
2025-07-28T10:14:23.189249,2,35.4,10.44921875
2025-07-28T10:14:26.464862,2,35.8,10.44921875
2025-07-28T10:14:29.667167,2,35.8,10.44921875
2025-07-28T10:14:32.954696,2,35.8,10.44921875
2025-07-28T10:14:35.995092,2,35.8,10.44921875
2025-07-28T10:14:38.866561,2,35.8,10.44921875
2025-07-28T10:14:42.155088,2,36.1,10.3515625
2025-07-28T10:14:45.306917,2,36.1,10.3515625
2025-07-28T10:14:48.280154,2,36.1,10.3515625
2025-07-28T10:14:51.407666,2,36.1,10.3515625
2025-07-28T10:14:54.742620,2,36.1,10.3515625
2025-07-28T10:14:57.934729,2,32.7,10.3515625
2025-07-28T10:15:01.490574,2,32.7,10.3515625
2025-07-28T10:15:04.613521,2,32.7,10.3515625
2025-07-28T10:15:07.762073,2,32.7,10.3515625
2025-07-28T10:15:10.879487,2,39.300000000000004,10.44921875
2025-07-28T10:15:13.978643,2,39.300000000000004,10.44921875
2025-07-28T10:15:17.253977,2,39.300000000000004,10.44921875
2025-07-28T10:15:20.519769,2,39.300000000000004,10.44921875
2025-07-28T10:15:23.870682,2,39.300000000000004,10.44921875
2025-07-28T10:15:27.051789,2,35.699999999999996,10.44921875
2025-07-28T10:15:30.350663,2,35.699999999999996,10.44921875
2025-07-28T10:15:33.350615,2,35.699999999999996,10.44921875
2025-07-28T10:15:36.376939,2,35.699999999999996,10.44921875
2025-07-28T10:15:39.518637,2,35.699999999999996,10.44921875
2025-07-28T10:15:42.817828,2,35.4,10.44921875
2025-07-28T10:15:46.106411,2,35.4,10.44921875
2025-07-28T10:15:49.334774,2,35.4,10.44921875
2025-07-28T10:15:52.782602,2,35.4,10.44921875
2025-07-28T10:15:55.926988,2,37.9,10.546875
2025-07-28T10:15:59.515799,2,37.9,10.546875
2025-07-28T10:16:03.227728,2,37.9,10.546875
2025-07-28T10:16:06.521618,2,37.9,10.546875
2025-07-28T10:16:10.032014,2,37.9,10.546875
2025-07-28T10:16:13.195337,2,50.5,11.1328125
2025-07-28T10:16:17.040103,2,50.5,11.1328125
2025-07-28T10:16:20.641247,2,50.5,11.1328125
2025-07-28T10:16:23.850679,2,50.5,11.1328125
2025-07-28T10:16:27.180541,2,51.800000000000004,10.9375
2025-07-28T10:16:30.382579,2,51.800000000000004,10.9375
2025-07-28T10:16:33.538973,2,51.800000000000004,10.9375
2025-07-28T10:16:36.829724,2,51.800000000000004,10.9375
2025-07-28T10:16:40.088589,2,51.800000000000004,10.9375
2025-07-28T10:16:42.958669,2,39.900000000000006,10.546875
2025-07-28T10:16:46.158590,2,39.900000000000006,10.546875
2025-07-28T10:16:49.323913,2,39.900000000000006,10.546875
2025-07-28T10:16:52.822590,2,39.900000000000006,10.546875
2025-07-28T10:16:56.005313,2,36.6,10.546875
2025-07-28T10:16:59.356552,2,36.6,10.546875
2025-07-28T10:17:02.628367,2,36.6,10.546875
2025-07-28T10:17:05.748955,2,36.6,10.546875
2025-07-28T10:17:08.894584,2,36.6,10.546875
2025-07-28T10:17:12.350425,2,43.2,10.44921875
2025-07-28T10:17:15.733958,2,43.2,10.44921875
2025-07-28T10:17:18.962724,2,43.2,10.44921875
2025-07-28T10:17:22.429246,2,43.2,10.44921875
2025-07-28T10:17:25.558071,2,45.5,10.3515625
2025-07-28T10:17:28.870699,2,45.5,10.3515625
2025-07-28T10:17:32.425352,2,45.5,10.3515625
2025-07-28T10:17:37.056886,2,45.5,10.3515625
2025-07-28T10:17:40.358632,2,45.5,10.3515625
2025-07-28T10:17:43.482378,2,46.0,10.44921875
2025-07-28T10:17:46.897450,2,46.0,10.44921875
2025-07-28T10:17:50.250574,2,46.0,10.44921875
2025-07-28T10:17:53.654003,2,46.0,10.44921875
2025-07-28T10:17:56.897786,2,40.699999999999996,10.546875
2025-07-28T10:18:00.186261,2,40.699999999999996,10.546875
2025-07-28T10:18:03.374718,2,40.699999999999996,10.546875
2025-07-28T10:18:06.594642,2,40.699999999999996,10.546875
2025-07-28T10:18:09.852021,2,40.699999999999996,10.546875
2025-07-28T10:18:13.118584,2,47.099999999999994,10.546875
2025-07-28T10:18:16.419558,2,47.099999999999994,10.546875
2025-07-28T10:18:19.784472,2,47.099999999999994,10.546875
2025-07-28T10:18:23.156973,2,47.099999999999994,10.546875
2025-07-28T10:18:26.619073,2,47.3,10.546875
2025-07-28T10:18:30.055453,2,47.3,10.546875
2025-07-28T10:18:33.831996,2,47.3,10.546875
2025-07-28T10:18:37.794195,2,47.3,10.546875
2025-07-28T10:18:41.215559,2,49.6,10.64453125
2025-07-28T10:18:44.474584,2,49.6,10.64453125
2025-07-28T10:18:47.650730,2,49.6,10.64453125
2025-07-28T10:18:51.076741,2,49.6,10.64453125
2025-07-28T10:18:54.182676,2,49.6,10.64453125
2025-07-28T10:18:57.528350,2,64.7,11.1328125
2025-07-28T10:19:00.818360,2,64.7,11.1328125
2025-07-28T10:19:04.146874,2,64.7,11.1328125
2025-07-28T10:19:07.933254,2,64.7,11.1328125
2025-07-28T10:19:11.665524,2,58.9,11.328125
2025-07-28T10:19:15.135616,2,58.9,11.328125
2025-07-28T10:19:18.474653,2,58.9,11.328125
2025-07-28T10:19:22.077015,2,58.9,11.328125
2025-07-28T10:19:25.570541,2,58.9,11.328125
2025-07-28T10:19:28.899780,2,56.10000000000001,10.7421875
2025-07-28T10:19:32.432739,2,56.10000000000001,10.7421875
2025-07-28T10:19:35.646922,2,56.10000000000001,10.7421875
2025-07-28T10:19:39.001498,2,56.10000000000001,10.7421875
2025-07-28T10:19:42.686820,2,52.400000000000006,10.44921875
2025-07-28T10:19:46.143681,2,52.400000000000006,10.44921875
2025-07-28T10:19:48.947139,2,52.400000000000006,10.44921875
2025-07-28T10:19:52.898571,2,52.400000000000006,10.44921875
2025-07-28T10:19:56.060857,2,51.4,10.44921875
2025-07-28T10:19:59.710580,2,51.4,10.44921875
2025-07-28T10:20:03.490795,2,51.4,10.44921875
2025-07-28T10:20:06.755446,2,51.4,10.44921875
2025-07-28T10:20:10.225137,2,51.4,10.44921875
2025-07-28T10:20:13.840769,2,59.599999999999994,10.44921875
2025-07-28T10:20:18.278007,2,59.599999999999994,10.44921875
2025-07-28T10:20:21.894741,2,59.599999999999994,10.44921875
2025-07-28T10:20:25.422774,2,59.599999999999994,10.44921875
2025-07-28T10:20:28.850670,2,61.5,10.546875
2025-07-28T10:20:32.563108,2,61.5,10.546875
2025-07-28T10:20:35.650662,2,61.5,10.546875
2025-07-28T10:20:39.047160,2,61.5,10.546875
2025-07-28T10:20:42.717726,2,60.699999999999996,10.546875
2025-07-28T10:20:46.167924,2,60.699999999999996,10.546875
2025-07-28T10:20:49.436627,2,60.699999999999996,10.546875
