timestamp,rps_test_running,pod_count,pod_names,cpu_usage_millicores,memory_usage_mib,cpu_limit_millicores,memory_limit_mib,cpu_request_millicores,memory_request_mib,pods_ready,pods_pending,pods_failed,scaling_events,avg_latency_ms
2025-07-28T10:09:41.770588,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,100,105,0,0,0,0,2,0,0,,
2025-07-28T10:09:44.668797,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,100,105,0,0,0,0,2,0,0,,
2025-07-28T10:09:47.497125,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,100,105,0,0,0,0,2,0,0,,
2025-07-28T10:09:50.613402,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,100,105,0,0,0,0,2,0,0,,
2025-07-28T10:09:53.491355,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,100,105,0,0,0,0,2,0,0,,
2025-07-28T10:09:56.430633,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,117,106,0,0,0,0,2,0,0,,
2025-07-28T10:09:59.465082,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,117,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:02.378594,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,117,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:05.251275,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,117,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:08.166596,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,117,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:11.194549,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,125,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:14.045961,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,125,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:17.020041,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,125,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:19.946709,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,125,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:23.049331,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,125,106,0,0,0,0,2,0,0,,
2025-07-28T10:10:26.049384,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,121,105,0,0,0,0,2,0,0,,
2025-07-28T10:10:28.924878,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,121,105,0,0,0,0,2,0,0,,
2025-07-28T10:10:32.190610,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,121,105,0,0,0,0,2,0,0,,
2025-07-28T10:10:35.073018,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,121,105,0,0,0,0,2,0,0,,
2025-07-28T10:10:37.915483,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,121,105,0,0,0,0,2,0,0,,
2025-07-28T10:10:40.858026,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:43.793488,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:46.799696,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:49.699889,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:52.644334,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:55.578563,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,128,107,0,0,0,0,2,0,0,,
2025-07-28T10:10:58.814614,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,162,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:02.068170,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,162,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:05.100868,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,162,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:08.086966,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,162,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:11.058600,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,176,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:14.214803,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,176,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:17.237348,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,176,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:20.219628,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,176,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:23.273072,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,176,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:26.187632,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,179,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:29.190831,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,179,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:32.073129,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,179,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:35.160279,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,179,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:38.036267,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,179,106,0,0,0,0,2,0,0,,
2025-07-28T10:11:41.089455,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,161,107,0,0,0,0,2,0,0,,
2025-07-28T10:11:44.257264,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,161,107,0,0,0,0,2,0,0,,
2025-07-28T10:11:47.179974,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,161,107,0,0,0,0,2,0,0,,
2025-07-28T10:11:50.204571,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,161,107,0,0,0,0,2,0,0,,
2025-07-28T10:11:53.230126,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,161,107,0,0,0,0,2,0,0,,
2025-07-28T10:11:56.277968,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,206,108,0,0,0,0,2,0,0,,
2025-07-28T10:11:59.322610,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,206,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:02.506970,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,206,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:05.552773,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,206,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:08.618603,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,206,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:11.626596,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,217,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:14.586584,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,217,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:17.536811,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,217,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:20.582774,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,217,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:23.583283,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,217,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:26.721679,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,222,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:30.258512,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,222,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:33.259500,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,222,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:36.459484,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,222,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:39.720574,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,222,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:43.009415,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,209,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:46.169971,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,209,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:49.640679,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,209,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:53.213098,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,209,108,0,0,0,0,2,0,0,,
2025-07-28T10:12:56.658642,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,280,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:00.023665,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,280,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:03.210073,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,280,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:06.326466,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,280,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:09.450934,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,280,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:12.634779,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,424,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:16.195065,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,424,111,0,0,0,0,2,0,0,,
2025-07-28T10:13:19.254725,,2,fibonacci-python-00001-deployment-6bb846c87c-9cj7j;fibonacci-python-00001-deployment-6bb846c87c-bvc8w,424,111,0,0,0,0,2,0,0,,
