timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-09T09:02:22.305887,1,32,57
2025-08-09T09:02:24.545125,1,31,56
2025-08-09T09:02:26.882843,1,31,56
2025-08-09T09:02:29.168641,1,31,56
2025-08-09T09:02:31.441452,1,31,56
2025-08-09T09:02:33.764710,1,31,56
2025-08-09T09:02:36.023791,1,31,56
2025-08-09T09:02:38.300648,1,31,56
2025-08-09T09:02:40.571163,1,97,58
2025-08-09T09:02:42.860727,1,97,58
2025-08-09T09:02:45.160602,1,97,58
2025-08-09T09:02:47.432789,1,97,58
2025-08-09T09:02:49.664615,1,97,58
2025-08-09T09:02:51.951985,1,97,58
2025-08-09T09:02:54.225330,1,123,57
2025-08-09T09:02:56.517229,1,123,57
2025-08-09T09:02:58.788614,1,123,57
2025-08-09T09:03:01.004609,1,123,57
2025-08-09T09:03:03.347455,1,123,57
2025-08-09T09:03:05.589577,1,123,57
2025-08-09T09:03:07.868134,1,123,57
2025-08-09T09:03:10.211454,1,144,58
2025-08-09T09:03:12.525386,1,144,58
2025-08-09T09:03:14.858758,1,144,58
2025-08-09T09:03:17.221856,1,144,58
2025-08-09T09:03:19.493545,1,144,58
2025-08-09T09:03:21.772270,1,144,58
2025-08-09T09:03:24.000699,1,137,58
2025-08-09T09:03:26.290344,1,137,58
2025-08-09T09:03:28.604611,1,137,58
2025-08-09T09:03:30.888627,1,137,58
2025-08-09T09:03:33.204951,1,137,58
2025-08-09T09:03:35.460556,1,137,58
2025-08-09T09:03:37.712677,1,137,58
2025-08-09T09:03:40.050900,1,138,58
2025-08-09T09:03:42.333889,1,138,58
2025-08-09T09:03:44.638509,1,138,58
2025-08-09T09:03:46.896690,1,138,58
2025-08-09T09:03:49.178270,1,138,58
2025-08-09T09:03:51.450451,1,138,58
2025-08-09T09:03:53.863145,1,122,57
2025-08-09T09:03:56.172663,1,122,57
2025-08-09T09:03:58.436628,1,122,57
2025-08-09T09:04:00.681696,1,122,57
2025-08-09T09:04:03.020869,1,122,57
2025-08-09T09:04:05.256656,1,122,57
2025-08-09T09:04:07.544028,1,122,57
2025-08-09T09:04:09.861448,1,139,58
2025-08-09T09:04:12.170867,1,139,58
2025-08-09T09:04:14.580838,1,139,58
2025-08-09T09:04:16.920614,1,139,58
2025-08-09T09:04:19.163953,1,139,58
2025-08-09T09:04:21.460759,1,139,58
2025-08-09T09:04:23.789075,1,133,59
2025-08-09T09:04:26.091671,1,133,59
2025-08-09T09:04:28.404739,1,133,59
