timestamp,rps_test_running,pod_count,pod_names,cpu_usage_millicores,memory_usage_mib,cpu_limit_millicores,memory_limit_mib,cpu_request_millicores,memory_request_mib,pods_ready,pods_pending,pods_failed,scaling_events,avg_latency_ms
2025-07-27T12:40:58.096048,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,115,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:01.418622,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,115,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:04.370726,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,115,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:07.211441,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,115,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:10.265597,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,115,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:13.341423,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,116,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:16.450666,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,116,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:19.423624,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,116,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:22.627282,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,116,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:25.670264,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,116,53,0,0,0,0,1,0,0,,
2025-07-27T12:41:28.702628,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,140,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:31.986567,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,140,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:34.914604,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,140,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:37.934705,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,140,54,0,0,0,0,1,0,0,,
2025-07-27T12:41:40.868322,,1,fibonacci-python-00001-deployment-78dccfc588-5mzjd,171,54,0,0,0,0,1,0,0,,
