timestamp,pod_count,cpu_percent,memory_percent
2025-07-27T13:08:11.367145,1,1.4000000000000001,4.19921875
2025-07-27T13:08:14.316824,1,1.4000000000000001,4.19921875
2025-07-27T13:08:17.246759,1,1.4000000000000001,4.19921875
2025-07-27T13:08:20.151265,1,1.4000000000000001,4.19921875
2025-07-27T13:08:22.946600,1,1.4000000000000001,4.19921875
2025-07-27T13:08:25.837355,1,1.4000000000000001,4.19921875
2025-07-27T13:08:28.832472,1,1.4000000000000001,4.19921875
2025-07-27T13:08:31.725118,1,1.4000000000000001,4.19921875
2025-07-27T13:08:34.591679,1,1.4000000000000001,4.19921875
2025-07-27T13:08:37.598556,1,1.4000000000000001,4.19921875
2025-07-27T13:08:40.770584,1,1.4000000000000001,4.19921875
2025-07-27T13:08:43.610940,1,5.5,4.8828125
2025-07-27T13:08:46.604629,1,5.5,4.8828125
2025-07-27T13:08:49.413907,1,5.5,4.8828125
2025-07-27T13:08:52.221881,1,5.5,4.8828125
2025-07-27T13:08:55.214390,1,5.5,4.8828125
2025-07-27T13:08:58.126410,1,6.6000000000000005,5.078125
2025-07-27T13:09:01.062784,1,6.6000000000000005,5.078125
2025-07-27T13:09:04.013364,1,6.6000000000000005,5.078125
2025-07-27T13:09:06.967076,1,6.6000000000000005,5.078125
2025-07-27T13:09:09.854002,1,6.6000000000000005,5.078125
2025-07-27T13:09:12.757352,1,6.6000000000000005,5.078125
2025-07-27T13:09:15.750696,1,6.6000000000000005,5.078125
2025-07-27T13:09:18.578704,1,6.6000000000000005,5.078125
2025-07-27T13:09:21.606630,1,6.6000000000000005,5.078125
2025-07-27T13:09:24.437221,1,6.6000000000000005,5.078125
2025-07-27T13:09:27.302629,1,6.4,5.17578125
2025-07-27T13:09:30.282584,1,6.4,5.17578125
2025-07-27T13:09:33.116080,1,6.4,5.17578125
2025-07-27T13:09:36.095163,1,6.4,5.17578125
2025-07-27T13:09:38.978546,1,6.4,5.17578125
2025-07-27T13:09:41.990683,1,10.6,5.17578125
2025-07-27T13:09:44.934559,1,10.6,5.17578125
2025-07-27T13:09:47.793934,1,10.6,5.17578125
2025-07-27T13:09:51.034698,1,10.6,5.17578125
2025-07-27T13:09:53.973714,1,10.6,5.17578125
2025-07-27T13:09:56.938613,1,12.1,5.2734375
2025-07-27T13:09:59.926582,1,12.1,5.2734375
2025-07-27T13:10:02.802594,1,12.1,5.2734375
2025-07-27T13:10:05.866585,1,12.1,5.2734375
2025-07-27T13:10:08.810695,1,12.1,5.2734375
2025-07-27T13:10:11.817176,1,12.0,5.17578125
2025-07-27T13:10:14.783254,1,12.0,5.17578125
2025-07-27T13:10:17.786669,1,12.0,5.17578125
2025-07-27T13:10:20.722631,1,12.0,5.17578125
2025-07-27T13:10:23.783910,1,12.0,5.17578125
2025-07-27T13:10:26.755849,1,11.4,5.2734375
2025-07-27T13:10:29.973190,1,11.4,5.2734375
2025-07-27T13:10:32.986223,1,11.4,5.2734375
2025-07-27T13:10:36.001247,1,11.4,5.2734375
2025-07-27T13:10:39.118597,1,11.4,5.2734375
2025-07-27T13:10:42.353063,1,15.8,5.2734375
2025-07-27T13:10:45.248128,1,15.8,5.2734375
2025-07-27T13:10:48.163560,1,15.8,5.2734375
