runtime,config,config_description,pods,cpu_per_pod_m,total_cpu_m,concurrency,target_rps,achieved_rps,avg_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,min_latency_ms,max_latency_ms,total_requests,result_dir,avg_cpu_percent,avg_memory_percent,avg_pod_count
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,200.0,95.07,8.787880445262513,6.089,24.55060000000001,63.80376,1.01,252.818,11409,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,220.0,116.42,10.301415074082028,6.318,34.9495,66.29779999999995,0.976,174.948,13971,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,240.0,116.5,11.24719914193779,6.412,38.31419999999996,79.81539999999995,1.104,273.915,13985,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,260.0,137.4,25.204090038198025,12.544,84.00559999999999,162.99484,1.019,435.547,16493,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,280.0,139.46,24.81012713585853,12.647,82.71664999999997,130.81609000000003,0.933,1027.034,16738,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b1,"Single Pod (1 pod, 1000m)",1,1000,1000,100,300.0,141.92,23.51447539635937,11.0105,81.89569999999995,146.90481999999926,0.954,346.514,17030,results_fibonacci_python_b1,32.412274368231046,5.441956227436823,1.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,20.0,10.0,31.022691666666667,7.675,20.12034999999999,1128.0611399999989,1.824,2328.552,1200,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,40.0,19.98,7.187297624010005,6.97,17.625299999999996,26.240839999999988,1.474,121.379,2399,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,60.0,31.18,8.137455249799626,6.857,17.9346,32.903679999999994,1.124,596.319,3743,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,80.0,41.32,7.6275938697318,6.868,18.98419999999995,34.78760000000006,1.216,126.734,4959,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,100.0,49.55,6.780154699848663,6.522,15.926999999999987,25.49688,1.073,92.012,5947,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,120.0,61.38,6.541796932265508,6.094,15.3485,25.769260000000013,0.981,96.507,7367,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,140.0,69.63,7.1182123713807135,6.34,17.805949999999996,28.37675000000001,1.028,100.956,8358,results_fibonacci_python_b4,48.1396,44.259765625,8.0
python,b4,"Octa Pod (8 pods, 125m)",8,125,1000,100,160.0,79.98,7.666171684550474,6.369,19.225,36.809840000000015,0.972,162.429,9599,results_fibonacci_python_b4,48.1396,44.259765625,8.0
