min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4915,364541,11315.0425,8101.5,21617.49999999999,66996.73999999999,17804.32904274577,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5178,128008,10239.101666666667,8124.5,20988.99999999999,33733.07,7082.074339108838,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5007,76558,10475.326666666666,8274.5,22878.74999999998,37353.92999999999,6458.164037347525,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
5082,70230,10435.10125,8478.5,21438.89999999998,38022.129999999976,6123.178437720487,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4554,93187,9859.255416666667,7881.5,21274.69999999998,34095.30999999995,5821.803537436859,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
5189,112972,10580.647769904126,8539.0,21863.1,37229.84,6673.603551984197,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter03_rps39.98_lat.csv
4641,170664,11839.850201342282,9069.0,26091.199999999986,47107.99999999999,8947.827811096022,62.083333333333336,62.083333333333336,3725,target_rps60.00_iter01_rps62.07_lat.csv
4848,112809,10432.171214553236,8197.5,22534.199999999997,38393.46000000005,6697.388856409642,62.3,62.3,3738,target_rps60.00_iter02_rps62.30_lat.csv
4850,102756,11018.205148833467,8568.0,25203.999999999993,40811.159999999996,7473.145622372021,62.15,62.15,3729,target_rps60.00_iter03_rps62.15_lat.csv
4322,102078,10610.133360193393,8256.0,23473.29999999998,39972.799999999996,7039.084688920801,82.73333333333333,82.73333333333333,4964,target_rps80.00_iter01_rps82.73_lat.csv
4291,82440,10293.602412060302,8119.0,22704.40000000001,35395.94,6311.12918456241,82.91666666666667,82.91666666666667,4975,target_rps80.00_iter02_rps82.92_lat.csv
4310,82066,10675.782880161129,8114.0,24353.4,42092.31999999997,7168.827294884157,82.75,82.75,4965,target_rps80.00_iter03_rps82.75_lat.csv
4504,122695,10982.29748982361,8547.5,24718.75,39853.100000000035,7220.008306840687,98.26666666666667,98.26666666666667,5896,target_rps100.00_iter01_rps98.27_lat.csv
4386,212367,11138.827340569878,8491.5,25387.0,42172.1,8527.867844101323,98.26666666666667,98.26666666666667,5896,target_rps100.00_iter02_rps98.27_lat.csv
4320,107059,10442.54822420468,8070.0,22691.0,40347.80000000006,7260.799948062369,99.01666666666667,99.01666666666667,5941,target_rps100.00_iter03_rps99.01_lat.csv
4369,135899,11294.312380692665,8808.0,25854.099999999977,42026.87,7797.118902878155,122.23333333333333,122.23333333333333,7334,target_rps120.00_iter01_rps122.23_lat.csv
4474,114050,10949.122074722869,8407.0,25224.999999999993,42754.47999999998,7753.47498858891,121.78333333333333,121.78333333333333,7307,target_rps120.00_iter02_rps121.78_lat.csv
4189,89003,11377.315889888252,8987.0,26141.849999999977,41593.93,7499.635445139867,122.3,122.3,7338,target_rps120.00_iter03_rps122.30_lat.csv
4313,141642,12340.855433221637,9598.5,28771.75,46857.200000000055,8753.400810790727,139.26666666666668,139.26666666666668,8356,target_rps140.00_iter01_rps139.26_lat.csv
4091,114701,10403.337232899607,8147.0,22990.199999999997,38453.479999999996,7027.775642383905,139.61666666666667,139.61666666666667,8377,target_rps140.00_iter02_rps139.62_lat.csv
4179,187060,11614.212758332338,8930.0,26791.5,45440.399999999936,9066.265685159862,139.51666666666668,139.51666666666668,8371,target_rps140.00_iter03_rps139.52_lat.csv
4500,108813,12261.5498189343,9850.0,27564.59999999998,40882.6400000001,7688.232019747686,161.08333333333334,161.08333333333334,9665,target_rps160.00_iter01_rps161.08_lat.csv
4304,124937,11564.270175075106,9163.0,26008.0,42598.159999999974,7884.266998112276,160.88333333333333,160.88333333333333,9653,target_rps160.00_iter02_rps160.88_lat.csv
4159,175445,12142.063970969415,9474.0,27935.59999999999,42991.11999999992,8312.815287749734,160.75,160.75,9645,target_rps160.00_iter03_rps160.75_lat.csv
4273,146878,13289.676352879764,10421.5,31041.65000000001,50393.48999999997,9479.744844061555,191.56666666666666,191.56666666666666,11494,target_rps180.00_iter01_rps191.56_lat.csv
4275,273254,12935.703494436717,10377.5,28538.850000000006,44976.39999999999,8981.378947938285,191.73333333333332,191.73333333333332,11504,target_rps180.00_iter02_rps191.73_lat.csv
4424,180106,13778.93831140542,10931.0,31358.199999999953,51802.44,9581.354917208659,191.28333333333333,191.28333333333333,11477,target_rps180.00_iter03_rps191.28_lat.csv
4401,128281,13453.346288209606,10817.5,30436.649999999998,45844.210000000014,8820.499234531608,190.83333333333334,190.83333333333334,11450,target_rps200.00_iter01_rps190.77_lat.csv
4454,234752,14589.700799859365,11596.0,33193.99999999998,52134.11999999998,9993.227655803139,189.61666666666667,189.61666666666667,11377,target_rps200.00_iter02_rps189.62_lat.csv
4469,109025,13096.709262956854,10641.0,29085.0,44642.399999999994,8228.63283637536,191.98333333333332,191.98333333333332,11519,target_rps200.00_iter03_rps191.98_lat.csv
4698,194665,16894.125597659317,13046.0,40621.59999999999,66216.47999999988,12517.945245565677,233.55,233.55,14013,target_rps220.00_iter01_rps233.55_lat.csv
4242,174378,16675.731222754235,13448.0,37538.799999999996,59985.159999999996,11289.440409836528,233.21666666666667,233.21666666666667,13993,target_rps220.00_iter02_rps233.21_lat.csv
4719,160765,17157.399530309704,13615.5,39293.5,62115.0,11916.610419444463,227.1,227.1,13626,target_rps220.00_iter03_rps227.10_lat.csv
4352,247502,16295.605330599692,13239.0,36350.0,53841.200000000004,10689.794865546404,227.61666666666667,227.61666666666667,13657,target_rps240.00_iter01_rps227.61_lat.csv
4522,141519,15758.028509406657,12628.0,35641.149999999994,55501.19999999994,10456.63997740824,230.33333333333334,230.33333333333334,13820,target_rps240.00_iter02_rps230.33_lat.csv
4437,226902,16818.07922228671,13500.0,37710.85,61403.63000000001,11689.741808111059,229.73333333333332,229.73333333333332,13784,target_rps240.00_iter03_rps229.72_lat.csv
4415,480547,29019.82857487777,19423.0,81020.09999999987,184184.34000000003,33459.03440087779,276.1166666666667,276.1166666666667,16567,target_rps260.00_iter01_rps276.13_lat.csv
4868,342319,28060.715469444953,19709.0,78918.2,156371.23999999982,28336.679977410164,273.55,273.55,16413,target_rps260.00_iter02_rps273.54_lat.csv
4678,378825,28214.851727094563,18669.5,86151.29999999999,166339.54999999993,30746.86749981736,272.1333333333333,272.1333333333333,16328,target_rps260.00_iter03_rps272.13_lat.csv
4561,380083,28480.124810018846,19062.0,84985.19999999987,168058.56000000032,30083.65207846791,274.15,274.15,16449,target_rps280.00_iter01_rps274.15_lat.csv
4587,366119,30254.11664553523,19670.0,94311.29999999996,186066.20000000004,33418.70682095248,276.05,276.05,16563,target_rps280.00_iter02_rps276.04_lat.csv
4652,561665,30028.069276741066,19723.0,89073.2,184738.5600000003,35234.29645018142,273.3,273.3,16398,target_rps280.00_iter03_rps273.32_lat.csv
4607,353057,26771.635095315414,17786.0,79637.2,167617.12000000008,29922.820857665913,277.15,277.15,16629,target_rps300.00_iter01_rps277.12_lat.csv
4542,406718,26573.872838749234,18224.0,75252.65,165243.59999999998,29065.42826752275,271.8333333333333,271.8333333333333,16310,target_rps300.00_iter02_rps271.82_lat.csv
4367,352098,26103.15018954209,18296.0,72124.49999999983,139844.3399999999,26340.50748206054,276.98333333333335,276.98333333333335,16619,target_rps300.00_iter03_rps277.00_lat.csv
4325,633032,33133.22737102255,18674.0,123184.19999999991,263642.2799999999,48388.32078914072,269.75,269.75,16185,target_rps320.00_iter01_rps269.73_lat.csv
4914,810807,34926.05952898776,19862.0,115427.39999999995,283067.5599999999,55019.488782162945,268.21666666666664,268.21666666666664,16093,target_rps320.00_iter02_rps268.20_lat.csv
4746,300459,27553.665633546036,19263.0,79964.59999999992,146672.99999999994,26932.744092299872,274.25,274.25,16455,target_rps320.00_iter03_rps274.17_lat.csv
4209,708473,71830.29853059043,38504.0,265670.3,406084.4200000002,84839.71703244597,311.9166666666667,311.9166666666667,18715,target_rps340.00_iter01_rps311.90_lat.csv
4524,910272,68767.17822694266,35595.5,245901.49999999988,535228.3600000003,94800.80216693561,307.56666666666666,307.56666666666666,18454,target_rps340.00_iter02_rps307.58_lat.csv
5828,1415260,88873.72738454657,39369.5,387373.0,786995.7500000019,150553.70896934558,298.1,298.1,17886,target_rps340.00_iter03_rps298.09_lat.csv
5962,915935,69805.75520344503,42425.0,233562.39999999988,409114.48000000016,79956.54094426006,301.8833333333333,301.8833333333333,18113,target_rps360.00_iter01_rps301.88_lat.csv
5615,1163173,78784.0145070887,39589.0,311185.19999999995,571998.8199999989,110076.14349551876,303.3,303.3,18198,target_rps360.00_iter02_rps303.30_lat.csv
5638,944913,69198.79660654071,38807.0,253501.89999999874,441750.06000000006,85863.69886576536,311.3833333333333,311.3833333333333,18683,target_rps360.00_iter03_rps311.38_lat.csv
5652,1025820,90157.97132340823,38255.0,398800.3999999997,631199.2999999999,131935.78977024445,303.3833333333333,303.3833333333333,18203,target_rps380.00_iter01_rps303.38_lat.csv
5629,1779039,93405.17961868658,39321.5,382285.74999999924,987347.7100000001,172737.42874364727,298.96666666666664,298.96666666666664,17938,target_rps380.00_iter02_rps298.93_lat.csv
6122,1125041,83128.61090848806,38189.5,363809.75,613814.15,121628.462863001,301.6,301.6,18096,target_rps380.00_iter03_rps301.59_lat.csv
5837,1356534,93645.32540628385,37176.5,412299.14999999997,694273.7699999999,146334.23556672048,307.6666666666667,307.6666666666667,18460,target_rps400.00_iter01_rps307.65_lat.csv
5776,946487,91855.25926326023,40442.0,411050.85,624680.3599999982,130747.85558150843,308.56666666666666,308.56666666666666,18514,target_rps400.00_iter02_rps308.48_lat.csv
6032,1580830,86681.45698372358,41055.0,386516.19999999995,669296.2799999985,132990.49146296585,308.21666666666664,308.21666666666664,18493,target_rps400.00_iter03_rps308.22_lat.csv
4989,1305599,75398.35514120007,39734.0,271095.79999999976,668207.8000000013,115323.22440346866,307.48333333333335,307.48333333333335,18449,target_rps420.00_iter01_rps307.48_lat.csv
5882,1399913,83123.41447548242,36881.0,355984.5999999993,676876.1999999977,130489.29952372113,304.8833333333333,304.8833333333333,18293,target_rps420.00_iter02_rps304.82_lat.csv
5312,827126,72937.00540924488,38801.5,286424.75000000006,504227.33000000025,96909.84410692926,305.03333333333336,305.03333333333336,18302,target_rps420.00_iter03_rps304.86_lat.csv
5338,956394,78070.8407207608,36598.0,336252.0,550249.8000000011,111550.93121255998,299.68333333333334,299.68333333333334,17981,target_rps440.00_iter01_rps299.68_lat.csv
5398,1301615,89621.39215258855,41667.5,371780.9499999998,815655.8399999982,142482.80914901738,305.8333333333333,305.8333333333333,18350,target_rps440.00_iter02_rps305.83_lat.csv
5536,1258623,85308.38365792156,38137.0,343809.0999999999,719135.0799999993,131329.08536140565,310.65,310.65,18639,target_rps440.00_iter03_rps310.47_lat.csv
6168,1005758,85636.68195066098,41468.5,335761.6,569646.0299999994,114493.84709577607,320.23333333333335,320.23333333333335,19214,target_rps460.00_iter01_rps319.64_lat.csv
5718,881365,79534.67995616552,42244.0,300198.79999999993,535430.0800000001,102339.87306946315,319.3833333333333,319.3833333333333,19163,target_rps460.00_iter02_rps319.38_lat.csv
5397,1290323,85267.3532168053,45000.0,306243.35,651721.1499999993,119497.65147270297,316.56666666666666,316.56666666666666,18994,target_rps460.00_iter03_rps316.56_lat.csv
5851,701328,72162.08142842095,36475.5,268833.25,415885.20000000077,87259.46641331316,316.43333333333334,316.43333333333334,18986,target_rps480.00_iter01_rps316.42_lat.csv
5635,688684,74540.27013598326,43035.0,265456.64999999997,400315.2900000008,83199.63138903139,318.6666666666667,318.6666666666667,19120,target_rps480.00_iter02_rps318.57_lat.csv
5844,1227617,103096.32210526316,41535.0,480673.9999999999,763012.48,158644.7771239819,308.75,308.75,18525,target_rps480.00_iter03_rps308.74_lat.csv
4641,1037485,73655.48487572712,36807.0,282029.59999999957,497528.79999999993,98803.9852741943,315.1666666666667,315.1666666666667,18910,target_rps500.00_iter01_rps315.17_lat.csv
5522,927279,88558.705810365,37763.0,383102.24999999994,585036.5399999999,124317.86241119321,313.23333333333335,313.23333333333335,18794,target_rps500.00_iter02_rps313.10_lat.csv
4865,1282246,78888.98473121677,35973.0,319783.39999999973,561726.5999999971,113837.95490461953,316.55,316.55,18993,target_rps500.00_iter03_rps316.54_lat.csv
