rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b5,3,1200.0,0.0,1200,1200,5033.333333333333,133.46285375838977,4915,5178,189702.33333333334,153584.48862542512,76558,364541,10676.490277777777,565.4752585524438,10239.101666666667,11315.0425,8166.833333333333,93.94856748952235,8101.5,8274.5,21828.416666666653,962.368508334165,20988.99999999999,22878.74999999998,46027.91333333333,18249.559600643333,33733.07,66996.73999999999,20.0,0.0,20.0,20.0,1200.0,5033.333333333333,189702.33333333334,10676.490277777777,8166.833333333333,21828.416666666653,46027.91333333333,20.0
40,60,fibonacci_python_b5,3,2399.6666666666665,0.5773502691896258,2399,2400,4941.666666666667,339.9651942969064,4554,5189,92129.66666666667,21390.607900041865,70230,112972,10291.668145523598,381.48594131654926,9859.255416666667,10580.647769904126,8299.666666666666,363.40415976338704,7881.5,8539.0,21525.566666666655,303.6230777351088,21274.69999999998,21863.1,36449.0933333333,2076.5723792426347,34095.30999999995,38022.129999999976,39.99444444444445,0.009622504486493216,39.983333333333334,40.0,2399.6666666666665,4941.666666666667,92129.66666666667,10291.668145523598,8299.666666666666,21525.566666666655,36449.0933333333,39.99444444444445
60,60,fibonacci_python_b5,3,3730.6666666666665,6.658328118479393,3725,3738,4779.666666666667,120.0930195029392,4641,4850,128743.0,36650.967013163514,102756,170664,11096.742188242997,707.1181530559577,10432.171214553236,11839.850201342282,8611.5,437.37541083147323,8197.5,9069.0,24609.79999999999,1851.4501019471147,22534.199999999997,26091.199999999986,42104.20666666669,4498.864202721962,38393.46000000005,47107.99999999999,62.17777777777778,0.1109721353079875,62.083333333333336,62.3,3730.6666666666665,4779.666666666667,128743.0,11096.742188242997,8611.5,24609.79999999999,42104.20666666669,62.17777777777778
80,60,fibonacci_python_b5,3,4968.0,6.082762530298219,4964,4975,4307.666666666667,15.631165450257807,4291,4322,88861.33333333333,11447.496553104234,82066,102078,10526.506217471608,204.35410883879777,10293.602412060302,10675.782880161129,8163.0,80.5791536316931,8114.0,8256.0,23510.366666666665,825.1246592687243,22704.40000000001,24353.4,39153.686666666654,3422.5116896415757,35395.94,42092.31999999997,82.8,0.10137937550497274,82.73333333333333,82.91666666666667,4968.0,4307.666666666667,88861.33333333333,10526.506217471608,8163.0,23510.366666666665,39153.686666666654,82.8
100,60,fibonacci_python_b5,3,5911.0,25.98076211353316,5896,5941,4403.333333333333,93.2165936587115,4320,4504,147373.66666666666,56826.236522695515,107059,212367,10854.557684866057,365.2933688140543,10442.54822420468,11138.827340569878,8369.666666666666,261.02506265363354,8070.0,8547.5,24265.583333333332,1403.9672435043965,22691.0,25387.0,40791.00000000004,1221.3762442425093,39853.100000000035,42172.1,98.51666666666667,0.4330127018922193,98.26666666666667,99.01666666666667,5911.0,4403.333333333333,147373.66666666666,10854.557684866057,8369.666666666666,24265.583333333332,40791.00000000004,98.51666666666667
120,60,fibonacci_python_b5,3,7326.333333333333,16.862186493255653,7307,7338,4344.0,144.13535305399574,4189,4474,112984.0,23466.16651692389,89003,135899,11206.916781767928,227.08143664780613,10949.122074722869,11377.315889888252,8734.0,296.9966329775474,8407.0,8987.0,25740.31666666665,468.89600748281606,25224.999999999993,26141.849999999977,42125.09333333332,586.4767199414835,41593.93,42754.47999999998,122.10555555555555,0.28103644155426116,121.78333333333333,122.3,7326.333333333333,4344.0,112984.0,11206.916781767928,8734.0,25740.31666666665,42125.09333333332,122.10555555555555
140,60,fibonacci_python_b5,3,8368.0,10.816653826391969,8356,8377,4194.333333333333,111.79147254300452,4091,4313,147801.0,36570.56440636376,114701,187060,11452.801808151193,978.7922738117445,10403.337232899607,12340.855433221637,8891.833333333334,726.5022941005303,8147.0,9598.5,26184.483333333334,2938.1851585346594,22990.199999999997,28771.75,43583.69333333333,4499.016247373798,38453.479999999996,46857.200000000055,139.46666666666667,0.1802775637731971,139.26666666666668,139.61666666666667,8368.0,4194.333333333333,147801.0,11452.801808151193,8891.833333333334,26184.483333333334,43583.69333333333,139.46666666666667
160,60,fibonacci_python_b5,3,9654.333333333334,10.066445913694333,9645,9665,4321.0,171.13445006777565,4159,4500,136398.33333333334,34763.162648604535,108813,175445,11989.29465499294,372.8988782002986,11564.270175075106,12261.5498189343,9495.666666666666,344.01211218986657,9163.0,9850.0,27169.39999999999,1022.7647432327659,26008.0,27935.59999999999,42157.306666666664,1121.2429369824938,40882.6400000001,42991.11999999992,160.90555555555557,0.16777409856157774,160.75,161.08333333333334,9654.333333333334,4321.0,136398.33333333334,11989.29465499294,9495.666666666666,27169.39999999999,42157.306666666664,160.90555555555557
180,60,fibonacci_python_b5,3,11491.666666666666,13.650396819628845,11477,11504,4324.0,86.6083136886985,4273,4424,200079.33333333334,65512.77644347958,146878,273254,13334.772719573966,423.4223669739519,12935.703494436717,13778.93831140542,10576.666666666666,307.64928625519894,10377.5,10931.0,30312.89999999999,1544.5034889892438,28538.850000000006,31358.199999999953,49057.44333333332,3603.813402776752,44976.39999999999,51802.44,191.52777777777774,0.22750661366047548,191.28333333333333,191.73333333333332,11491.666666666666,4324.0,200079.33333333334,13334.772719573966,10576.666666666666,30312.89999999999,49057.44333333332,191.52777777777774
200,60,fibonacci_python_b5,3,11448.666666666666,71.00938905055678,11377,11519,4441.333333333333,35.72580766523457,4401,4469,157352.66666666666,67717.73020659607,109025,234752,13713.25211700861,779.6917417790205,13096.709262956854,14589.700799859365,11018.166666666666,508.14031854728216,10641.0,11596.0,30905.21666666666,2094.191082693574,29085.0,33193.99999999998,47540.243333333325,4023.5387335569712,44642.399999999994,52134.11999999998,190.81111111111113,1.1834898175092694,189.61666666666667,191.98333333333332,11448.666666666666,4441.333333333333,157352.66666666666,13713.25211700861,11018.166666666666,30905.21666666666,47540.243333333325,190.81111111111113
