rps,duration,test_title,iterations,avg_total_requests,std_total_requests,min_total_requests,max_total_requests,avg_min,std_min,min_min,max_min,avg_max,std_max,min_max,max_max,avg_average,std_average,min_average,max_average,avg_median,std_median,min_median,max_median,avg_p95,std_p95,min_p95,max_p95,avg_p99,std_p99,min_p99,max_p99,avg_throughput_rps,std_throughput_rps,min_throughput_rps,max_throughput_rps,total_requests,min,max,average,median,p95,p99,throughput_rps
20,60,fibonacci_python_b4,3,1200.0,0.0,1200,1200,5288.333333333333,78.0085465403204,5211,5367,167563.33333333334,89377.71105445325,66080,234560,10646.927222222223,530.2676193843939,10151.083333333334,11205.956666666667,8428.166666666666,439.879055347414,8046.0,8909.0,20587.983333333326,998.0770014549589,19997.799999999996,21740.349999999988,46425.42666666666,22754.90734991978,33196.909999999996,72700.31999999999,20.0,0.0,20.0,20.0,1200.0,5288.333333333333,167563.33333333334,10646.927222222223,8428.166666666666,20587.983333333326,46425.42666666666,20.0
40,60,fibonacci_python_b4,3,2399.6666666666665,0.5773502691896258,2399,2400,4662.0,105.78752289377042,4587,4783,130408.66666666667,34600.72398568176,108519,170299,9974.842543247185,481.9120627889331,9435.56,10363.311379741559,7859.833333333333,304.2746840164875,7535.5,8139.0,20404.299999999985,773.4459564184323,19515.049999999967,20920.649999999987,34110.42999999999,3149.1300573491676,30611.239999999994,36716.62999999998,39.99444444444445,0.009622504486493216,39.983333333333334,40.0,2399.6666666666665,4662.0,130408.66666666667,9974.842543247185,7859.833333333333,20404.299999999985,34110.42999999999,39.99444444444445
60,60,fibonacci_python_b4,3,3740.3333333333335,2.0816659994661326,3738,3742,4424.333333333333,98.30734119755927,4356,4537,97739.33333333333,18023.68980906333,77701,112627,10043.224008305895,118.37252172169484,9945.505344735435,10174.850187265918,7768.833333333333,32.149390870331175,7743.5,7805.0,22605.766666666663,1086.5538658222763,21571.399999999998,23737.899999999998,37425.08333333337,1837.6505074233883,35578.54000000003,39253.71000000009,62.338888888888896,0.03469443332443756,62.3,62.36666666666667,3740.3333333333335,4424.333333333333,97739.33333333333,10043.224008305895,7768.833333333333,22605.766666666663,37425.08333333337,62.338888888888896
80,60,fibonacci_python_b4,3,4960.666666666667,7.637626158259734,4954,4969,4372.0,157.66737138672667,4277,4554,135657.0,58517.54201092182,92390,202238,10052.91898868658,423.8998697177745,9689.037545417845,10518.380116959064,7828.166666666667,254.65974030720545,7651.0,8120.0,22591.18333333332,1828.3279385365636,20975.749999999975,24575.999999999993,35375.84999999997,2984.7682359439395,32061.51000000001,37851.68000000001,82.67777777777778,0.12729376930432784,82.56666666666666,82.81666666666666,4960.666666666667,4372.0,135657.0,10052.91898868658,7828.166666666667,22591.18333333332,35375.84999999997,82.67777777777778
100,60,fibonacci_python_b4,3,5935.666666666667,15.275252316519467,5919,5949,4109.333333333333,107.09964207845577,4047,4233,164882.66666666666,94313.10668371248,93626,271833,10150.474798845507,560.191756925102,9748.278029920995,10790.313566480825,7693.0,408.6428758708513,7401.0,8160.0,23129.43333333332,1911.2989047591043,21474.499999999996,25221.399999999998,38563.79333333327,3495.354554052078,36185.67999999999,42577.01999999981,98.92777777777779,0.25458753860865724,98.65,99.15,5935.666666666667,4109.333333333333,164882.66666666666,10150.474798845507,7693.0,23129.43333333332,38563.79333333327,98.92777777777779
120,60,fibonacci_python_b4,3,7361.333333333333,31.46956201368766,7325,7380,4100.333333333333,225.77496170597246,3862,4311,377993.0,363764.4397257654,112498,792625,11833.909175339048,2440.852224679041,10111.625965577992,14627.164905149051,7997.833333333333,221.16754584100565,7761.0,8199.0,24864.21666666664,1661.0149234228027,23249.499999999985,26567.949999999943,65267.54666666681,45728.77300245164,38406.180000000015,118067.90000000036,122.68888888888888,0.5244927002281307,122.08333333333333,123.0,7361.333333333333,4100.333333333333,377993.0,11833.909175339048,7997.833333333333,24864.21666666664,65267.54666666681,122.68888888888888
140,60,fibonacci_python_b4,3,8364.666666666666,32.145502536643185,8328,8388,4172.666666666667,188.69375541690118,3994,4370,140367.66666666666,56118.34713650548,93157,202413,11021.926720720849,903.8571524166842,10033.576537911302,11806.499279538904,8635.0,614.5671240800308,7948.0,9132.5,24925.766666666663,2443.471911202035,22174.949999999997,26844.59999999999,39065.416666666635,4680.85978549169,34582.499999999956,43921.83999999995,139.41111111111113,0.5357583756107158,138.8,139.8,8364.666666666666,4172.666666666667,140367.66666666666,11021.926720720849,8635.0,24925.766666666663,39065.416666666635,139.41111111111113
160,60,fibonacci_python_b4,3,9699.333333333334,23.713568549109883,9673,9719,4064.3333333333335,156.46511858345085,3973,4245,146429.33333333334,40172.18050259823,109647,189297,11034.123460614326,338.22328351819743,10646.760572075316,11270.903442572107,8410.0,310.01451578918045,8070.0,8677.0,25712.63333333333,815.9978574318214,24776.500000000007,26273.399999999994,43372.543333333364,857.1433692407423,42753.45999999997,44350.85000000005,161.65555555555557,0.39522614248515997,161.21666666666667,161.98333333333332,9699.333333333334,4064.3333333333335,146429.33333333334,11034.123460614326,8410.0,25712.63333333333,43372.543333333364,161.65555555555557
180,60,fibonacci_python_b4,3,11464.333333333334,31.785741037976972,11439,11500,4101.0,73.08214556237385,4040,4182,217787.33333333334,37409.45177803777,179287,254001,12497.879960744272,498.1264588294993,12166.873739130435,13070.760206311741,9773.833333333334,387.66426625797396,9532.5,10221.0,28593.733333333326,1450.5900302405778,27466.849999999973,30230.4,46219.156666666735,565.7004370101123,45631.15000000002,46759.54000000021,191.07222222222222,0.529762350632941,190.65,191.66666666666666,11464.333333333334,4101.0,217787.33333333334,12497.879960744272,9773.833333333334,28593.733333333326,46219.156666666735,191.07222222222222
200,60,fibonacci_python_b4,3,11437.0,75.7429864739964,11365,11516,4152.0,123.55970216862778,4010,4235,262629.0,126954.64190016843,116039,336929,12810.565360946688,350.2917480038625,12482.953543307087,13179.815134183898,9772.333333333334,469.9245506816316,9270.5,10202.0,29201.516666666663,887.3089968175296,28583.25,30218.199999999997,49430.88666666666,3356.9779127265833,45676.69999999985,52143.96000000008,190.61666666666667,1.2623831078999463,189.41666666666666,191.93333333333334,11437.0,4152.0,262629.0,12810.565360946688,9772.333333333334,29201.516666666663,49430.88666666666,190.61666666666667
