min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
5367,234560,11205.956666666667,8329.5,21740.349999999988,72700.31999999999,12891.861634695055,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
5211,66080,10583.741666666667,8909.0,19997.799999999996,33196.909999999996,5638.067868510501,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5287,202050,10151.083333333334,8046.0,20025.8,33379.049999999996,9047.971361382002,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4587,108519,9435.56,7535.5,19515.049999999967,30611.239999999994,5759.313842281909,40.0,40.0,2400,target_rps40.00_iter01_rps40.00_lat.csv
4783,112408,10125.65625,7905.0,20920.649999999987,36716.62999999998,6675.598535194124,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4616,170299,10363.311379741559,8139.0,20777.2,35003.42,8069.7000682488915,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter03_rps39.98_lat.csv
4537,77701,10009.316492916332,7805.0,22508.0,37443.0,6561.836800266878,62.35,62.35,3741,target_rps60.00_iter01_rps62.35_lat.csv
4380,102890,10174.850187265918,7758.0,23737.899999999998,39253.71000000009,7087.718580195264,62.3,62.3,3738,target_rps60.00_iter02_rps62.30_lat.csv
4356,112627,9945.505344735435,7743.5,21571.399999999998,35578.54000000003,6583.331076628996,62.36666666666667,62.36666666666667,3742,target_rps60.00_iter03_rps62.37_lat.csv
4285,92390,9951.339303682833,7651.0,22221.8,36214.35999999989,6431.55926377736,82.81666666666666,82.81666666666666,4969,target_rps80.00_iter01_rps82.81_lat.csv
4554,112343,9689.037545417845,7713.5,20975.749999999975,32061.51000000001,5893.527283036325,82.56666666666666,82.56666666666666,4954,target_rps80.00_iter02_rps82.57_lat.csv
4277,202238,10518.380116959064,8120.0,24575.999999999993,37851.68000000001,7462.350400537298,82.65,82.65,4959,target_rps80.00_iter03_rps82.65_lat.csv
4047,93626,9748.278029920995,7401.0,22692.39999999996,36185.67999999999,6475.077093541968,99.15,99.15,5949,target_rps100.00_iter01_rps99.15_lat.csv
4233,129189,10790.313566480825,8160.0,25221.399999999998,42577.01999999981,7665.5448942503735,98.65,98.65,5919,target_rps100.00_iter02_rps98.65_lat.csv
4048,271833,9912.832800134704,7518.0,21474.499999999996,36928.679999999986,10313.220688629763,98.98333333333333,98.98333333333333,5939,target_rps100.00_iter03_rps98.98_lat.csv
3862,792625,14627.164905149051,8033.5,26567.949999999943,118067.90000000036,44190.34377519858,123.0,123.0,7380,target_rps120.00_iter01_rps123.00_lat.csv
4128,112498,10111.625965577992,7761.0,23249.499999999985,38406.180000000015,6783.404367903604,122.98333333333333,122.98333333333333,7379,target_rps120.00_iter02_rps122.98_lat.csv
4311,228856,10762.936655290103,8199.0,24775.199999999993,39328.56000000006,7933.394557484497,122.08333333333333,122.08333333333333,7325,target_rps120.00_iter03_rps122.07_lat.csv
4370,202413,11806.499279538904,9132.5,26844.59999999999,43921.83999999995,8720.377953589954,138.8,138.8,8328,target_rps140.00_iter01_rps138.80_lat.csv
3994,93157,10033.576537911302,7948.0,22174.949999999997,34582.499999999956,6248.980341428983,139.8,139.8,8388,target_rps140.00_iter02_rps139.80_lat.csv
