runtime,cpu_config,cpu_allocated_millicores,max_rps,avg_latency_ms,cpu_efficiency_percent,performance_scaling_percent,performance_per_vcpu,cpu_waste_factor
nodejs,1,1000,49.95,8.896185852519185,13.596601941747574,100.0,49.95,0.0
nodejs,2,2000,50.0,9.323939333333334,7.0362068965517235,100.1001001001001,25.0,0.9989989989989991
python,1,1000,25.0,6.579285333333333,8.07487922705314,100.0,25.0,0.0
python,2,2000,24.97,6.279613279946613,4.174878048780488,99.88,12.485,1.0012
go,1,1000,49.97,8.926075383589058,12.44390243902439,100.0,49.97,0.0
go,2,2000,49.92,9.296007011686145,6.2892682926829275,99.8999399639784,24.96,1.001000600360216
