timestamp,pod_count,cpu_usage_millicores,memory_usage_mib
2025-08-11T12:10:05.168027,4,47,184
2025-08-11T12:10:07.441660,4,47,184
2025-08-11T12:10:09.840629,4,45,185
2025-08-11T12:10:12.222985,4,45,185
2025-08-11T12:10:14.634536,4,45,185
2025-08-11T12:10:16.973739,4,45,185
2025-08-11T12:10:19.331765,4,45,185
2025-08-11T12:10:21.696637,4,45,185
2025-08-11T12:10:24.052660,4,138,197
2025-08-11T12:10:26.347368,4,138,197
2025-08-11T12:10:28.647152,4,138,197
2025-08-11T12:10:30.925422,4,138,197
2025-08-11T12:10:33.220349,4,138,197
2025-08-11T12:10:35.625439,4,138,197
2025-08-11T12:10:37.883110,4,138,197
2025-08-11T12:10:40.244657,4,200,216
2025-08-11T12:10:42.548348,4,200,216
2025-08-11T12:10:44.904640,4,200,216
2025-08-11T12:10:47.265423,4,200,216
2025-08-11T12:10:49.557679,4,200,216
2025-08-11T12:10:51.940636,4,200,216
2025-08-11T12:10:54.248156,4,215,221
2025-08-11T12:10:56.579239,4,215,221
2025-08-11T12:10:58.922009,4,215,221
2025-08-11T12:11:01.184750,4,215,221
2025-08-11T12:11:03.536773,4,215,221
2025-08-11T12:11:05.793241,4,215,221
2025-08-11T12:11:08.080610,4,215,221
2025-08-11T12:11:10.351153,4,226,229
2025-08-11T12:11:12.656639,4,226,229
2025-08-11T12:11:15.000596,4,226,229
2025-08-11T12:11:17.326284,4,226,229
2025-08-11T12:11:19.636918,4,226,229
2025-08-11T12:11:21.951979,4,226,229
2025-08-11T12:11:24.315233,4,228,232
2025-08-11T12:11:26.588763,4,228,232
2025-08-11T12:11:28.873646,4,228,232
2025-08-11T12:11:31.224749,4,228,232
2025-08-11T12:11:33.574463,4,228,232
2025-08-11T12:11:35.822398,4,228,232
2025-08-11T12:11:38.138161,4,228,232
2025-08-11T12:11:40.413303,4,235,234
2025-08-11T12:11:42.660243,4,235,234
2025-08-11T12:11:44.960661,4,235,234
2025-08-11T12:11:47.207150,4,235,234
2025-08-11T12:11:49.468597,4,235,234
2025-08-11T12:11:51.739559,4,235,234
2025-08-11T12:11:54.110985,4,248,233
2025-08-11T12:11:56.399796,4,248,233
2025-08-11T12:11:58.965416,4,248,233
2025-08-11T12:12:01.232643,4,248,233
2025-08-11T12:12:03.534969,4,248,233
2025-08-11T12:12:05.816636,4,248,233
2025-08-11T12:12:08.113446,4,248,233
2025-08-11T12:12:10.392610,4,232,232
2025-08-11T12:12:12.660601,4,232,232
2025-08-11T12:12:14.963471,4,232,232
2025-08-11T12:12:17.230281,4,232,232
2025-08-11T12:12:19.536725,4,232,232
2025-08-11T12:12:21.840974,4,232,232
2025-08-11T12:12:24.101909,4,217,231
2025-08-11T12:12:26.426450,4,217,231
2025-08-11T12:12:28.716709,4,217,231
2025-08-11T12:12:30.980890,4,217,231
2025-08-11T12:12:33.229680,4,217,231
2025-08-11T12:12:35.504847,4,217,231
2025-08-11T12:12:37.772574,4,217,231
2025-08-11T12:12:40.020388,4,245,235
2025-08-11T12:12:42.302621,4,245,235
2025-08-11T12:12:44.563783,4,245,235
2025-08-11T12:12:46.836702,4,245,235
2025-08-11T12:12:49.132594,4,245,235
2025-08-11T12:12:51.407193,4,245,235
2025-08-11T12:12:53.676617,4,235,234
2025-08-11T12:12:55.948602,4,235,234
2025-08-11T12:12:58.202659,4,235,234
2025-08-11T12:13:00.515564,4,235,234
2025-08-11T12:13:02.876140,4,235,234
2025-08-11T12:13:05.167125,4,235,234
2025-08-11T12:13:07.432989,4,235,234
2025-08-11T12:13:09.713176,4,241,234
2025-08-11T12:13:12.000864,4,241,234
2025-08-11T12:13:14.236649,4,241,234
2025-08-11T12:13:16.473676,4,241,234
2025-08-11T12:13:18.708694,4,241,234
2025-08-11T12:13:21.068891,4,241,234
2025-08-11T12:13:23.386089,4,241,234
2025-08-11T12:13:25.612696,4,224,235
2025-08-11T12:13:27.879038,4,224,235
2025-08-11T12:13:30.156328,4,224,235
2025-08-11T12:13:32.676703,4,224,235
2025-08-11T12:13:34.973974,4,224,235
2025-08-11T12:13:37.261749,4,224,235
2025-08-11T12:13:39.539157,4,297,235
2025-08-11T12:13:41.983461,4,297,235
2025-08-11T12:13:44.295113,4,297,235
2025-08-11T12:13:46.626865,4,297,235
2025-08-11T12:13:48.959896,4,297,235
2025-08-11T12:13:51.454851,4,297,235
2025-08-11T12:13:53.849309,4,318,233
2025-08-11T12:13:56.166699,4,318,233
2025-08-11T12:13:58.597201,4,318,233
2025-08-11T12:14:00.961314,4,318,233
2025-08-11T12:14:03.289152,4,318,233
2025-08-11T12:14:05.574468,4,318,233
2025-08-11T12:14:07.885195,4,318,233
2025-08-11T12:14:10.167143,4,354,234
2025-08-11T12:14:12.512335,4,354,234
2025-08-11T12:14:14.784586,4,354,234
2025-08-11T12:14:17.098370,4,354,234
2025-08-11T12:14:19.436610,4,354,234
2025-08-11T12:14:21.722712,4,354,234
2025-08-11T12:14:24.062852,4,368,234
2025-08-11T12:14:26.391294,4,368,234
2025-08-11T12:14:28.720602,4,368,234
2025-08-11T12:14:31.006126,4,368,234
2025-08-11T12:14:33.362012,4,368,234
2025-08-11T12:14:35.598168,4,368,234
2025-08-11T12:14:37.940625,4,368,234
2025-08-11T12:14:40.263368,4,320,231
2025-08-11T12:14:42.909373,4,320,231
2025-08-11T12:14:45.220859,4,320,231
2025-08-11T12:14:47.587925,4,320,231
2025-08-11T12:14:49.865812,4,320,231
2025-08-11T12:14:52.756552,4,320,231
2025-08-11T12:14:55.008668,4,328,234
2025-08-11T12:14:57.370874,4,328,234
2025-08-11T12:14:59.645891,4,328,234
2025-08-11T12:15:01.952811,4,328,234
2025-08-11T12:15:04.206789,4,328,234
2025-08-11T12:15:06.514445,4,328,234
2025-08-11T12:15:08.869968,4,328,234
2025-08-11T12:15:11.196430,4,328,234
2025-08-11T12:15:13.502225,4,328,234
2025-08-11T12:15:15.788255,4,328,234
2025-08-11T12:15:18.016580,4,328,234
2025-08-11T12:15:20.261653,4,328,234
2025-08-11T12:15:22.608599,4,328,234
2025-08-11T12:15:24.896454,4,330,237
2025-08-11T12:15:27.214229,4,330,237
2025-08-11T12:15:29.572875,4,330,237
2025-08-11T12:15:31.889774,4,330,237
2025-08-11T12:15:34.180859,4,330,237
2025-08-11T12:15:36.473177,4,330,237
2025-08-11T12:15:38.770466,4,315,232
2025-08-11T12:15:41.556869,4,315,232
2025-08-11T12:15:44.539632,4,315,232
2025-08-11T12:15:46.877249,4,315,232
2025-08-11T12:15:49.189896,4,315,232
2025-08-11T12:15:51.480617,4,315,232
2025-08-11T12:15:53.972680,4,332,233
2025-08-11T12:15:56.288841,4,332,233
2025-08-11T12:15:58.652784,4,332,233
2025-08-11T12:16:00.976689,4,332,233
2025-08-11T12:16:03.280667,4,332,233
2025-08-11T12:16:05.543793,4,332,233
2025-08-11T12:16:07.782753,4,332,233
2025-08-11T12:16:10.066700,4,336,233
2025-08-11T12:16:12.341055,4,336,233
2025-08-11T12:16:14.768474,4,336,233
2025-08-11T12:16:17.218265,4,336,233
2025-08-11T12:16:19.512616,4,336,233
2025-08-11T12:16:21.860641,4,336,233
2025-08-11T12:16:24.233648,4,325,235
2025-08-11T12:16:26.486085,4,325,235
2025-08-11T12:16:28.722501,4,325,235
2025-08-11T12:16:30.984842,4,325,235
2025-08-11T12:16:33.284592,4,325,235
2025-08-11T12:16:35.636892,4,325,235
2025-08-11T12:16:38.003806,4,325,235
2025-08-11T12:16:40.354045,4,294,232
2025-08-11T12:16:42.692877,4,294,232
2025-08-11T12:16:45.038869,4,294,232
2025-08-11T12:16:47.332666,4,294,232
2025-08-11T12:16:49.636617,4,294,232
2025-08-11T12:16:51.922651,4,294,232
2025-08-11T12:16:54.213452,4,415,238
2025-08-11T12:16:57.073847,4,415,238
2025-08-11T12:16:59.407921,4,415,238
2025-08-11T12:17:01.751312,4,415,238
2025-08-11T12:17:04.106073,4,415,238
2025-08-11T12:17:06.488753,4,415,238
2025-08-11T12:17:08.872643,4,427,238
2025-08-11T12:17:11.158686,4,427,238
2025-08-11T12:17:13.500649,4,427,238
2025-08-11T12:17:15.904625,4,427,238
2025-08-11T12:17:18.210818,4,427,238
2025-08-11T12:17:20.501845,4,427,238
2025-08-11T12:17:22.944649,4,427,238
2025-08-11T12:17:25.268645,4,434,238
2025-08-11T12:17:27.777949,4,434,238
2025-08-11T12:17:30.296806,4,434,238
2025-08-11T12:17:32.591296,4,434,238
2025-08-11T12:17:34.888644,4,434,238
2025-08-11T12:17:38.229407,4,434,238
2025-08-11T12:17:40.522043,4,410,236
2025-08-11T12:17:42.803849,4,410,236
2025-08-11T12:17:45.113460,4,410,236
2025-08-11T12:17:47.533058,4,410,236
2025-08-11T12:17:49.902949,4,410,236
2025-08-11T12:17:52.549139,4,410,236
2025-08-11T12:17:55.039593,4,402,236
2025-08-11T12:17:57.380754,4,402,236
2025-08-11T12:17:59.690271,4,402,236
2025-08-11T12:18:02.038551,4,402,236
2025-08-11T12:18:04.345413,4,402,236
2025-08-11T12:18:06.667137,4,402,236
2025-08-11T12:18:09.000635,4,422,236
2025-08-11T12:18:11.265684,4,422,236
2025-08-11T12:18:13.626315,4,422,236
2025-08-11T12:18:15.999322,4,422,236
2025-08-11T12:18:18.325490,4,422,236
2025-08-11T12:18:20.639696,4,422,236
2025-08-11T12:18:22.932727,4,422,236
2025-08-11T12:18:25.198425,4,438,232
2025-08-11T12:18:27.497643,4,438,232
2025-08-11T12:18:29.837962,4,438,232
2025-08-11T12:18:32.157040,4,438,232
2025-08-11T12:18:34.613543,4,438,232
2025-08-11T12:18:37.032771,4,438,232
2025-08-11T12:18:39.474205,4,447,239
2025-08-11T12:18:41.800644,4,447,239
2025-08-11T12:18:44.199363,4,447,239
2025-08-11T12:18:46.590041,4,447,239
2025-08-11T12:18:48.942991,4,447,239
2025-08-11T12:18:51.605266,4,447,239
2025-08-11T12:18:53.964149,4,429,236
2025-08-11T12:18:56.556578,4,429,236
2025-08-11T12:18:58.910824,4,429,236
2025-08-11T12:19:01.236313,4,429,236
2025-08-11T12:19:03.569756,4,429,236
2025-08-11T12:19:05.856706,4,429,236
2025-08-11T12:19:08.238046,4,429,236
2025-08-11T12:19:10.516617,4,422,235
2025-08-11T12:19:13.502945,4,422,235
2025-08-11T12:19:15.828625,4,422,235
2025-08-11T12:19:18.104613,4,422,235
2025-08-11T12:19:20.704590,4,422,235
2025-08-11T12:19:22.991399,4,422,235
2025-08-11T12:19:25.744751,4,429,231
2025-08-11T12:19:28.219294,4,429,231
2025-08-11T12:19:30.506941,4,429,231
2025-08-11T12:19:32.795027,4,429,231
2025-08-11T12:19:35.132771,4,429,231
2025-08-11T12:19:37.548421,4,429,231
2025-08-11T12:19:39.918170,4,413,232
2025-08-11T12:19:42.163263,4,413,232
2025-08-11T12:19:44.469953,4,413,232
2025-08-11T12:19:46.870980,4,413,232
2025-08-11T12:19:49.369083,4,413,232
2025-08-11T12:19:51.733511,4,413,232
2025-08-11T12:19:54.120603,4,318,233
2025-08-11T12:19:56.500756,4,318,233
2025-08-11T12:19:58.864688,4,318,233
2025-08-11T12:20:01.195048,4,318,233
2025-08-11T12:20:03.599935,4,318,233
2025-08-11T12:20:06.000309,4,318,233
2025-08-11T12:20:08.447765,4,318,233
2025-08-11T12:20:10.798513,4,513,231
2025-08-11T12:20:13.119674,4,513,231
2025-08-11T12:20:15.599877,4,513,231
2025-08-11T12:20:17.905700,4,513,231
2025-08-11T12:20:20.242696,4,513,231
2025-08-11T12:20:22.582272,4,513,231
2025-08-11T12:20:24.912660,4,512,228
2025-08-11T12:20:27.248692,4,512,228
2025-08-11T12:20:29.556818,4,512,228
2025-08-11T12:20:31.903556,4,512,228
2025-08-11T12:20:34.272770,4,512,228
2025-08-11T12:20:36.543664,4,512,228
2025-08-11T12:20:38.940480,4,496,229
2025-08-11T12:20:41.243275,4,496,229
2025-08-11T12:20:43.565421,4,496,229
2025-08-11T12:20:45.978765,4,496,229
2025-08-11T12:20:48.375136,4,496,229
2025-08-11T12:20:50.748182,4,496,229
2025-08-11T12:20:53.070616,4,496,229
2025-08-11T12:20:55.409274,4,470,229
2025-08-11T12:20:57.721069,4,470,229
2025-08-11T12:21:00.033972,4,470,229
2025-08-11T12:21:02.364192,4,470,229
2025-08-11T12:21:04.774934,4,470,229
2025-08-11T12:21:07.144203,4,470,229
2025-08-11T12:21:09.465006,4,541,228
2025-08-11T12:21:11.812617,4,541,228
2025-08-11T12:21:14.209934,4,541,228
2025-08-11T12:21:16.544633,4,541,228
2025-08-11T12:21:18.921299,4,541,228
2025-08-11T12:21:21.415865,4,541,228
2025-08-11T12:21:23.835472,4,561,232
2025-08-11T12:21:26.213325,4,561,232
2025-08-11T12:21:28.690033,4,561,232
2025-08-11T12:21:31.058910,4,561,232
2025-08-11T12:21:33.441572,4,561,232
2025-08-11T12:21:35.998013,4,561,232
2025-08-11T12:21:38.418897,4,561,232
2025-08-11T12:21:40.814247,4,506,232
2025-08-11T12:21:43.233230,4,506,232
2025-08-11T12:21:45.495683,4,506,232
2025-08-11T12:21:47.923003,4,506,232
2025-08-11T12:21:50.192813,4,506,232
2025-08-11T12:21:52.572674,4,506,232
2025-08-11T12:21:54.848097,4,485,233
2025-08-11T12:21:57.208705,4,485,233
2025-08-11T12:21:59.628697,4,485,233
2025-08-11T12:22:02.099647,4,485,233
2025-08-11T12:22:04.456173,4,485,233
2025-08-11T12:22:06.900669,4,485,233
2025-08-11T12:22:09.344661,4,514,233
2025-08-11T12:22:11.748470,4,514,233
2025-08-11T12:22:14.092683,4,514,233
2025-08-11T12:22:16.412673,4,514,233
2025-08-11T12:22:18.763045,4,514,233
2025-08-11T12:22:21.121854,4,514,233
2025-08-11T12:22:23.532631,4,523,230
2025-08-11T12:22:25.888216,4,523,230
2025-08-11T12:22:28.169579,4,523,230
