min,max,average,median,p95,p99,std,throughput_rps,target_rps,total_requests,filename
4968,129048,9682.495833333332,7819.0,19776.04999999998,35044.47,7149.273358762831,20.0,20.0,1200,target_rps20.00_iter01_rps20.00_lat.csv
4977,51932,8890.265833333333,7374.5,17591.649999999994,29697.239999999994,4763.483230980522,20.0,20.0,1200,target_rps20.00_iter02_rps20.00_lat.csv
5005,66473,9249.905833333334,7360.5,18887.75,31431.92,5438.82105196515,20.0,20.0,1200,target_rps20.00_iter03_rps20.00_lat.csv
4491,85381,8912.746144226761,7307.0,18038.3,31143.899999999998,5365.677158172721,39.983333333333334,39.983333333333334,2399,target_rps40.00_iter01_rps39.98_lat.csv
4434,101375,8864.860416666666,7165.5,18284.649999999998,30660.79999999998,5540.801402258206,40.0,40.0,2400,target_rps40.00_iter02_rps40.00_lat.csv
4481,391091,9220.005862646567,7015.5,17558.9,35515.250000000044,15406.038250020822,39.8,39.8,2388,target_rps40.00_iter03_rps39.80_lat.csv
4060,60308,8752.748331998933,7031.0,18326.299999999985,30026.19999999999,4970.493337439243,62.45,62.45,3747,target_rps60.00_iter01_rps62.45_lat.csv
4323,78246,8731.461394603259,6980.0,18649.299999999996,32664.97999999998,5426.169412852259,62.38333333333333,62.38333333333333,3743,target_rps60.00_iter02_rps62.38_lat.csv
4335,100591,8441.653671562082,6796.0,17756.999999999996,28972.479999999996,4917.4401838251715,62.416666666666664,62.416666666666664,3745,target_rps60.00_iter03_rps62.42_lat.csv
4038,302031,8647.93372163085,6706.0,18455.1,31843.74000000008,8659.20387053254,82.98333333333333,82.98333333333333,4979,target_rps80.00_iter01_rps82.98_lat.csv
3949,62382,8847.796947178149,7015.0,19191.099999999984,31141.44000000004,5410.330741369975,82.98333333333333,82.98333333333333,4979,target_rps80.00_iter02_rps82.98_lat.csv
3867,128355,9063.412484945806,7029.0,20119.149999999994,34223.47999999992,6319.153818241143,83.03333333333333,83.03333333333333,4982,target_rps80.00_iter03_rps83.03_lat.csv
3853,103388,8500.188777219431,6670.0,18739.9,31372.280000000035,5622.66977485131,99.5,99.5,5970,target_rps100.00_iter01_rps99.50_lat.csv
3643,79129,8193.527162977867,6448.5,17812.74999999998,30746.22,5362.998380152629,99.4,99.4,5964,target_rps100.00_iter02_rps99.40_lat.csv
3719,76960,8401.520409877372,6615.0,18196.799999999996,30963.399999999998,5317.43357377269,99.21666666666667,99.21666666666667,5953,target_rps100.00_iter03_rps99.22_lat.csv
3964,152222,8942.490412076704,6604.0,19984.999999999993,35305.07999999994,7772.865837416432,122.55,122.55,7353,target_rps120.00_iter01_rps122.55_lat.csv
3950,84395,8599.548974635725,6674.5,19221.59999999999,31872.130000000005,5609.787794777222,123.53333333333333,123.53333333333333,7412,target_rps120.00_iter02_rps123.52_lat.csv
3680,186835,8971.563050250576,6652.0,20731.199999999997,37319.54000000003,6991.748130058837,123.05,123.05,7383,target_rps120.00_iter03_rps123.05_lat.csv
3695,103917,8842.270174191255,6684.0,20599.0,36132.120000000185,6335.511193255649,140.65,140.65,8439,target_rps140.00_iter01_rps140.65_lat.csv
3745,116682,9010.438202247191,6638.0,21650.899999999954,40355.879999999976,7214.702135403607,140.91666666666666,140.91666666666666,8455,target_rps140.00_iter02_rps140.92_lat.csv
3872,90182,9186.834499940682,6914.0,21400.399999999998,38041.83999999984,6693.165093781097,140.48333333333332,140.48333333333332,8429,target_rps140.00_iter03_rps140.48_lat.csv
3536,100788,9251.279319881183,7155.0,20989.199999999997,34104.91999999981,6205.504334690601,162.71666666666667,162.71666666666667,9763,target_rps160.00_iter01_rps162.71_lat.csv
3625,80333,9097.626423222895,7132.0,20639.2,33821.000000000015,5988.3294513711535,162.48333333333332,162.48333333333332,9749,target_rps160.00_iter02_rps162.39_lat.csv
3793,85947,9199.413155190134,7018.0,21380.499999999993,36346.90999999998,6500.8102365683735,162.16666666666666,162.16666666666666,9730,target_rps160.00_iter03_rps162.16_lat.csv
3629,133841,10512.327504112198,8010.0,25205.5,41507.0,7477.6543073526345,192.51666666666668,192.51666666666668,11551,target_rps180.00_iter01_rps192.51_lat.csv
3606,218720,10965.767421678382,8203.0,26391.6,45650.000000000065,8985.406811929262,192.05,192.05,11523,target_rps180.00_iter02_rps192.05_lat.csv
3563,152103,11398.593285204835,8645.0,26883.19999999999,46958.03999999998,9079.194507237544,191.61666666666667,191.61666666666667,11497,target_rps180.00_iter03_rps191.58_lat.csv
3839,141221,10147.382766049117,7830.0,23283.8,38113.91999999998,7073.860412901216,193.41666666666666,193.41666666666666,11605,target_rps200.00_iter01_rps193.42_lat.csv
3859,163405,11024.217172156079,8450.0,25468.59999999999,45181.48000000005,8448.185163949536,191.78333333333333,191.78333333333333,11507,target_rps200.00_iter02_rps191.78_lat.csv
3469,301948,10853.555294322536,8312.0,24717.800000000003,42526.020000000004,9825.203976671512,191.4,191.4,11484,target_rps200.00_iter03_rps191.40_lat.csv
3839,197499,12862.661318946546,9817.0,30321.09999999994,51675.359999999986,10119.42855678995,234.78333333333333,234.78333333333333,14087,target_rps220.00_iter01_rps234.78_lat.csv
3689,193296,12890.108843537415,9834.0,29987.449999999997,53253.67999999999,10410.766742553515,235.2,235.2,14112,target_rps220.00_iter02_rps235.20_lat.csv
3769,163477,12375.504651162792,9543.5,28937.0,48498.07000000008,9316.279512111782,236.5,236.5,14190,target_rps220.00_iter03_rps236.48_lat.csv
3833,145532,12050.757695566224,9413.0,27888.599999999948,45937.46999999997,8652.66369475741,236.06666666666666,236.06666666666666,14164,target_rps240.00_iter01_rps236.07_lat.csv
3779,176358,12379.397788873039,9601.5,28955.39999999998,49790.99999999995,9262.185620041037,233.66666666666666,233.66666666666666,14020,target_rps240.00_iter02_rps233.66_lat.csv
