HashOwner,HashApp,HashFunction,SampleCount,AverageAllocatedMb,AverageAllocatedMb_pct1,AverageAllocatedMb_pct5,AverageAllocatedMb_pct25,AverageAllocatedMb_pct50,AverageAllocatedMb_pct75,AverageAllocatedMb_pct95,AverageAllocatedMb_pct99,AverageAllocatedMb_pct100
49d849c758f4ae2d7ce7b13ad4e65694268498be0e5f50b86b9a2d38bde6c023,94409f2485ebd997a61cbd06906595e4f3ef1846ed7406f9e3fa03cfa4d5060a,8203ff88388384a6f9ed28664e8e9484119ff340cb7dc0811a15194b3a507f0e,3412412,267,164,184,219,265,310,364,396,507
563661b01134b1b2fbefb86dd78c1e8363e474a9c7e6194a753bc74ae9dfb84e,85356bede0e6772d04f9c50be3df03e4a270978a91ff35793ffc24879133eab1,660323aa6f1012c8eca3c7d8153cb436320b48ed84f82bf3e816b494ad8dfde2,84316,169,125,129,145,169,189,218,257,290
818b820b4e18c1b60c44f63cff49baf1f4de3fe6f1d552fc41532e2cc36fce16,655ec816977b464b5020ac516f915c54aa04fe1d54e5dbab8ead792b3ef19c88,b1224a9c879b3aa7eb83c46a1f09fd8d300904b14e353d629f1e6a455034bb13,207569,132,111,122,126,129,143,150,154,186
c7eb557e2eb846d87bd18df93e7a4b9dd55e13be18d2061d0f7f3aca3b22a0b0,3b78a2ea7323aacd2a2b764652da93855512244410ef06db15b55d9bff9d5143,4fec01ac4ad62bb7fdff5851257d9a097af424ae03ba62c0e94167e3d5e24ef6,180716,201,182,187,194,201,209,218,221,335
ffdd3d1c6a84caf0b741293bfac9d0d9c6445b53dfc29417d196981d0bb1192a,228ef3c9f06cde19b4382e39c9339cc9b62b521ae71d70ed02d775df20529a43,063ba6f3c1d425f6f5c3bde3b9ba1eba7c6d81c57fd794860338638212d30dfb,419751,213,144,186,213,217,221,227,232,297
