filename,total_requests,min_latency_ms,max_latency_ms,average_latency_ms,median_latency_ms,p95_latency_ms,p99_latency_ms,throughput_rps
rps1.00_lat.csv,120,7.562,322.034,16.3065,12.681,21.281799999999997,47.56441,1.0
rps5.00_lat.csv,600,5.586,44.288,9.826641666666667,8.722,17.63215,25.49139,5.0
rps10.00_lat.csv,1200,5.292,48.951,9.3207375,8.4215,15.929599999999999,25.38881,10.0
rps15.16_lat.csv,1819,5.43,68.994,9.805611874656405,8.714,17.102499999999996,27.571059999999992,15.16
rps20.00_lat.csv,2400,5.879,50.218,10.028527083333332,8.9935,16.522499999999987,26.730309999999996,20.0
rps25.00_lat.csv,3000,5.619,73.152,9.581579666666666,8.6785,14.799349999999977,25.190749999999984,25.0
rps30.31_lat.csv,3637,5.834,55.616,9.556916139675558,8.6,15.727999999999993,25.30868,30.31
